model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,rho_LOO,loo_rho,,0.0539072837639747,0.2167137431827577,0.0153239757380847,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,1.0170692665227667,0.0775009145453261,0.0054801422223159,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,1.0041076590899272,0.0192488465927499,0.0013610989955753,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,1.0034915257290462,0.0137504178691461,0.0009723013719421,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.9365421702883446,0.5140941468874154,0.0363519457432404,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,1.2892465133474382,0.2252918469937985,0.0159305392755357,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,1.2481274143872576,0.2160544269932369,0.0152773550432291,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.0208998335705457,0.0226375007965352,0.0016007130322345,200
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,dla,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,0.395817534226113,0.2298692114776541,0.0162542078221853,200
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.4281342479393824,0.3072185221599846,0.0220003753299178,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.6806383830420965,0.3351431701729284,0.0240001009093562,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.9209614003002844,0.2296613490310302,0.0164463908033082,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.2669613655042065,0.2338455744849135,0.0167460294116942,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.5812572267881565,0.367943048819941,0.0263489490059377,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.50_ratio,0.5,0.884416105168876,0.4425562630263795,0.0316921122552497,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.80,0.8,0.3793386940687069,0.186887046702933,0.0133832593909272,195
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,rho_LOO,loo_rho,,-0.0012544827951036,0.2032564675777427,0.0143724026544245,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,0.9669954719889566,0.1997407371947141,0.0141238029749582,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,0.9758798261576098,0.1824810897485096,0.0129033615999482,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,0.9747726806263408,0.1793363440124909,0.0126809944964435,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.3203143115298438,0.5501604934979013,0.0389022215693303,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,0.719426697725354,0.7346030014382009,0.0519442763796942,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,0.8501666685116984,0.6772718063672075,0.0478903486988714,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.0408943006214121,0.0921703183980759,0.0065174257163402,200
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,ig,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,-0.395817534226113,0.2298692114776541,0.0162542078221853,200
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,-0.0143709483077086,0.355665321991737,0.0254697227258307,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,-0.0011762115708173,0.3887337527488096,0.0278378022384589,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.1235376449539521,0.4417333371163418,0.0316331813068087,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,-0.0462129452424189,0.1253788319650891,0.0089785646459891,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,-0.0347630117172369,0.1495560599449464,0.0107099319029309,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.50_ratio,0.5,0.0857464211726339,0.2376132187232764,0.0170158360196123,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.80,0.8,0.8821425993214679,0.1696874239844743,0.0121515688252717,195
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,inverse,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,rho_LOO,loo_rho,,0.0012544827951036,0.2032564675777427,0.0143724026544245,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,-0.0463807294722041,0.491843303498613,0.0347785735185062,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,0.1219806060012627,0.6299169443891837,0.0445418542961901,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,0.150752687204876,0.6754296684847161,0.0477600898800124,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.000233641240291,0.0055745817882608,0.0003941824584758,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,0.0014325474641395,0.0150667672036307,0.0010653813260246,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,0.0254098723208847,0.1825773238242014,0.0129101663766985,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.5619978306686361,0.3655328699781052,0.0258470771108098,200
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,inverse,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,0.395817534226113,0.2298692114776541,0.0162542078221853,200
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.4281342479393824,0.3072185221599846,0.0220003753299178,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.6806383830420965,0.3351431701729284,0.0240001009093562,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.9209614003002844,0.2296613490310302,0.0164463908033082,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.2669613655042065,0.2338455744849135,0.0167460294116942,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.5812572267881565,0.367943048819941,0.0263489490059377,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.50_ratio,0.5,0.884416105168876,0.4425562630263795,0.0316921122552497,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.80,0.8,0.3793386940687069,0.186887046702933,0.0133832593909272,195
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,ot,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,rho_LOO,loo_rho,,-0.0012544827951036,0.2032564675777427,0.0143724026544245,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,0.9669954719889566,0.1997407371947141,0.0141238029749582,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,0.9758798261576098,0.1824810897485096,0.0129033615999482,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,0.9747726806263408,0.1793363440124909,0.0126809944964435,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.3203143115298438,0.5501604934979013,0.0389022215693303,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,0.719426697725354,0.7346030014382009,0.0519442763796942,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,0.8501666685116984,0.6772718063672075,0.0478903486988714,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.0408943006214121,0.0921703183980759,0.0065174257163402,200
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,ot,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,random,abtt,1000,83.57,0.5622480198973789,rho_LOO,loo_rho,,-0.0028940926030434,0.134279960270168,0.0042463051857065,1000
bowphs/LaTa,random,abtt,1000,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.2220818921910605,0.3662516232769197,0.0117294392526898,975
bowphs/LaTa,random,abtt,1000,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.3603169528673639,0.3761573753894848,0.012046677212257,975
bowphs/LaTa,random,abtt,1000,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.59875162317711,0.2957438380711343,0.0094713829579122,975
bowphs/LaTa,random,abtt,1000,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.0722409750212195,0.1318644293728711,0.0042230415256078,975
bowphs/LaTa,random,abtt,1000,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.1812269433194267,0.2409896997623621,0.0077178471417978,975
