model,layer,dir_acc_at_1_mean__baseline,dir_acc_at_1_mean__sif_abtt_optimal,dir_acc_at_1_std__baseline,dir_acc_at_1_std__sif_abtt_optimal,existing_acc_mean__baseline,existing_acc_mean__sif_abtt_optimal,existing_acc_std__baseline,existing_acc_std__sif_abtt_optimal,new_acc_mean__baseline,new_acc_mean__sif_abtt_optimal,new_acc_std__baseline,new_acc_std__sif_abtt_optimal,model_display
google/mt5-base,9,0.427685940753874,0.8379143273346621,0.0135549199833681,0.009938263558695,0.1710743801652892,0.7826446280991736,0.0080552019378586,0.0132618235833729,0.759029592098899,0.9092862049297692,0.0240194020825528,0.005803933705018,mT5-base
google/mt5-base,10,0.4211848065135118,0.8214750612995185,0.0096067836755992,0.0172564337515038,0.140495867768595,0.7669421487603306,0.0105351642842826,0.0150699029163722,0.7834936666619835,0.8916794653428317,0.0208207086355039,0.0191012607751924,mT5-base
google/mt5-base,11,0.4196967750535491,0.8034055822050348,0.0152065683831334,0.0124129337179176,0.1314049586776859,0.7206611570247933,0.0121883315733492,0.0126016121338652,0.7920168912248121,0.90996617768895,0.016424102091216,0.0148477089245668,mT5-base
google/mt5-base,12,0.5068892342525643,0.841147702490459,0.0086573546484951,0.0088090153055812,0.1694214876033057,0.771900826446281,0.0065336315292735,0.016373233682776,0.9424996882422624,0.9305224123045904,0.0114757527650304,0.0113459865470106,mT5-base
sentence-transformers/LaBSE,1,0.5017006005957603,0.8584616965377159,0.0121008050242592,0.0069505955146184,0.1702479338842975,0.8380165289256197,0.0034572728369176,0.0073919602561976,0.9294507171734894,0.8848088323335848,0.0158178889923294,0.008841504998002,LaBSE
sentence-transformers/LaBSE,2,0.5226907630063862,0.8598675511567905,0.011339513408234,0.0035443178860464,0.2735537190082645,0.8173553719008264,0.0053877705828121,0.0034572728369177,0.844149477515814,0.9146987603423248,0.0220218929407124,0.0076289344536621,LaBSE
sentence-transformers/LaBSE,3,0.5352784115950493,0.8467760598095925,0.0096751107550062,0.0055180932513554,0.2181818181818182,0.8314049586776859,0.0094229373975135,0.0089584642101978,0.9445780183403946,0.8668466322921768,0.0075505906222206,0.0071781375000439,LaBSE
sentence-transformers/LaBSE,4,0.5688035462973077,0.8496296860991975,0.0082993921642044,0.0063787588076699,0.2991735537190082,0.837190082644628,0.0036959801280988,0.0062668392099599,0.9167765404399068,0.8658235212690657,0.0141515991087857,0.0106504741907385,LaBSE
sentence-transformers/LaBSE,5,0.551110960417756,0.8450022122787926,0.0117312794060611,0.0053172484710432,0.2553719008264462,0.7942148760330578,0.0121883315733492,0.005387770582812,0.9327673185098928,0.9107231723073308,0.0125632928433165,0.0100381868166311,LaBSE
sentence-transformers/LaBSE,6,0.6611599039960736,0.8589489973292362,0.0111955069092306,0.0044408269389564,0.4611570247933884,0.8165289256198347,0.018617984010031,0.0080552019378586,0.918991612654979,0.9137474674108336,0.0180773561252046,0.015499228628246,LaBSE
