model,layer,overall_assignment_acc__baseline,overall_assignment_acc__sif_abtt_fixed,overall_assignment_acc__sif_abtt_optimal,overall_assignment_acc__sif_only,model_display
bowphs/PhilTa,8,0.4673659673659673,0.8857808857808858,0.8857808857808858,0.6142191142191142,PhilTa
bowphs/PhilTa,9,0.4755244755244755,0.8951048951048951,0.8951048951048951,0.5897435897435898,PhilTa
bowphs/PhilTa,10,0.4801864801864802,0.8881118881118881,0.8881118881118881,0.5804195804195804,PhilTa
bowphs/PhilTa,11,0.4696969696969697,0.8857808857808858,0.8857808857808858,0.5652680652680653,PhilTa
bowphs/PhilTa,12,0.548951048951049,0.8986013986013986,0.8986013986013986,0.6666666666666666,PhilTa
google/mt5-base,1,0.4533799533799534,0.9067599067599068,0.9067599067599068,0.5454545454545454,mT5-base
google/mt5-base,2,0.4358974358974359,0.9032634032634032,0.9032634032634032,0.5372960372960373,mT5-base
google/mt5-base,3,0.4487179487179487,0.8846153846153846,0.8846153846153846,0.5675990675990676,mT5-base
google/mt5-base,4,0.4906759906759906,0.8566433566433567,0.8566433566433567,0.4883449883449883,mT5-base
google/mt5-base,5,0.5116550116550117,0.8263403263403264,0.8263403263403264,0.4825174825174825,mT5-base
google/mt5-base,6,0.5804195804195804,0.817016317016317,0.817016317016317,0.5582750582750583,mT5-base
google/mt5-base,7,0.5652680652680653,0.8321678321678322,0.8321678321678322,0.5536130536130536,mT5-base
google/mt5-base,8,0.5582750582750583,0.8344988344988346,0.8344988344988346,0.5477855477855478,mT5-base
google/mt5-base,9,0.5081585081585082,0.844988344988345,0.844988344988345,0.4953379953379953,mT5-base
google/mt5-base,10,0.4906759906759906,0.8321678321678322,0.8321678321678322,0.4953379953379953,mT5-base
google/mt5-base,11,0.479020979020979,0.8158508158508159,0.8158508158508159,0.4836829836829837,mT5-base
google/mt5-base,12,0.472027972027972,0.8578088578088578,0.8578088578088578,0.5407925407925408,mT5-base
sentence-transformers/LaBSE,1,0.4766899766899767,0.8857808857808858,0.8857808857808858,0.5209790209790209,LaBSE
sentence-transformers/LaBSE,2,0.5431235431235432,0.8752913752913752,0.8752913752913752,0.5081585081585082,LaBSE
sentence-transformers/LaBSE,3,0.513986013986014,0.8601398601398601,0.8601398601398601,0.5769230769230769,LaBSE
sentence-transformers/LaBSE,4,0.5652680652680653,0.8694638694638694,0.8694638694638694,0.5874125874125874,LaBSE
sentence-transformers/LaBSE,5,0.5431235431235432,0.8566433566433567,0.8566433566433567,0.5979020979020979,LaBSE
sentence-transformers/LaBSE,6,0.6736596736596736,0.8717948717948718,0.8717948717948718,0.6480186480186481,LaBSE
sentence-transformers/LaBSE,7,0.583916083916084,0.8578088578088578,0.8578088578088578,0.634032634032634,LaBSE
sentence-transformers/LaBSE,8,0.5675990675990676,0.8543123543123543,0.8543123543123543,0.5710955710955711,LaBSE
sentence-transformers/LaBSE,9,0.6118881118881119,0.8589743589743589,0.8589743589743589,0.6130536130536131,LaBSE
sentence-transformers/LaBSE,10,0.7132867132867133,0.8636363636363636,0.8636363636363636,0.6981351981351981,LaBSE
sentence-transformers/LaBSE,11,0.8333333333333334,0.8962703962703963,0.8962703962703963,0.8065268065268065,LaBSE
sentence-transformers/LaBSE,12,0.8076923076923077,0.8904428904428905,0.87995337995338,0.8344988344988346,LaBSE
Qwen/Qwen3-Embedding-0.6B,1,0.5256410256410257,0.9137529137529138,0.9090909090909092,0.5664335664335665,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,2,0.5792540792540792,0.8939393939393939,0.8939393939393939,0.5244755244755245,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,3,0.5128205128205128,0.9044289044289044,0.9009324009324008,0.5372960372960373,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,4,0.5757575757575758,0.8986013986013986,0.9044289044289044,0.5314685314685315,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,5,0.4638694638694638,0.907925407925408,0.907925407925408,0.5372960372960373,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,6,0.5757575757575758,0.9055944055944056,0.9055944055944056,0.5256410256410257,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,7,0.5128205128205128,0.9114219114219114,0.9114219114219114,0.5734265734265734,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,8,0.5920745920745921,0.9114219114219114,0.9114219114219114,0.627039627039627,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,9,0.6072261072261073,0.9102564102564102,0.9102564102564102,0.5757575757575758,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,10,0.6468531468531469,0.8997668997668997,0.8997668997668997,0.5990675990675991,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,11,0.5512820512820513,0.8927738927738927,0.8927738927738927,0.6060606060606061,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,12,0.6072261072261073,0.8997668997668997,0.8997668997668997,0.6631701631701632,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,13,0.6247086247086248,0.8974358974358975,0.8974358974358975,0.6748251748251748,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,14,0.6328671328671329,0.8927738927738927,0.8927738927738927,0.5710955710955711,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,15,0.6386946386946387,0.8927738927738927,0.8927738927738927,0.6002331002331003,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,16,0.710955710955711,0.87995337995338,0.87995337995338,0.6794871794871795,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,17,0.6515151515151515,0.8997668997668997,0.8764568764568764,0.6864801864801865,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,18,0.7004662004662005,0.8986013986013986,0.8822843822843823,0.7307692307692307,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,19,0.6841491841491841,0.8857808857808858,0.8496503496503497,0.7004662004662005,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,20,0.745920745920746,0.8822843822843823,0.865967365967366,0.675990675990676,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,21,0.7610722610722611,0.8916083916083916,0.8916083916083916,0.7389277389277389,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,22,0.8088578088578089,0.8927738927738927,0.8927738927738927,0.7191142191142191,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,23,0.7517482517482518,0.8927738927738927,0.8927738927738927,0.7587412587412588,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,24,0.8181818181818182,0.8997668997668997,0.8986013986013986,0.7062937062937062,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,25,0.7249417249417249,0.8974358974358975,0.8927738927738927,0.7482517482517482,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,26,0.7494172494172494,0.9032634032634032,0.9032634032634032,0.7715617715617715,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,27,0.8076923076923077,0.8986013986013986,0.8986013986013986,0.7599067599067599,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,28,0.8228438228438228,0.8904428904428905,0.8904428904428905,0.7738927738927739,Qwen3-0.6B
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,1,0.585081585081585,0.9055944055944056,0.907925407925408,0.6037296037296037,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,2,0.627039627039627,0.907925407925408,0.907925407925408,0.5944055944055944,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,3,0.6037296037296037,0.9067599067599068,0.9067599067599068,0.5757575757575758,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,4,0.5442890442890443,0.9009324009324008,0.9009324009324008,0.5769230769230769,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,0.5431235431235432,0.8974358974358975,0.8974358974358975,0.5326340326340326,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,6,0.5023310023310024,0.8997668997668997,0.8997668997668997,0.5582750582750583,KaLM-mini
