model,layer,aucroc__baseline,aucroc__sif_abtt_fixed,aucroc__sif_abtt_optimal,aucroc__sif_only,model_display
google/mt5-base,1,0.8229049621036237,0.9714802519474516,0.9714802519474516,0.8464243944503356,mT5-base
google/mt5-base,2,0.8233860300327598,0.9637346507782916,0.9637346507782916,0.8354198642661789,mT5-base
google/mt5-base,3,0.8052750667801406,0.956222575774094,0.956222575774094,0.8093316555517914,mT5-base
google/mt5-base,4,0.7998931751266292,0.9659027875108328,0.9659027875108328,0.8104605774985485,mT5-base
google/mt5-base,5,0.653878380954243,0.9717387964835636,0.9717387964835636,0.6724930060511582,mT5-base
google/mt5-base,6,0.6566694929855841,0.9697297191738206,0.9697297191738206,0.6787292334126573,mT5-base
google/mt5-base,7,0.6566460932078099,0.9655987163158012,0.9655987163158012,0.6804431520931526,mT5-base
google/mt5-base,8,0.656436491089197,0.9665395403130712,0.9665395403130712,0.6817640753864329,mT5-base
google/mt5-base,9,0.659818087503951,0.9655276836472756,0.9655276836472756,0.6850602183127609,mT5-base
google/mt5-base,10,0.6590457620532207,0.9639960387273764,0.9639960387273764,0.6848396614992406,mT5-base
google/mt5-base,11,0.6596937259611985,0.9640030579738936,0.9640030579738936,0.6900201401550764,mT5-base
google/mt5-base,12,0.8388831572927979,0.9676220198479384,0.9676220198479384,0.8339077798297257,mT5-base
sentence-transformers/LaBSE,1,0.807044358753369,0.9735298330110722,0.9735298330110722,0.818696410994695,LaBSE
sentence-transformers/LaBSE,2,0.8347824910413031,0.9742922179633096,0.9742922179633096,0.8416400911339041,LaBSE
sentence-transformers/LaBSE,3,0.8547075036935752,0.9676445015833596,0.9676445015833596,0.8635130042187364,LaBSE
sentence-transformers/LaBSE,4,0.8636499985737147,0.9655446456816684,0.9655446456816684,0.8706953715234984,LaBSE
sentence-transformers/LaBSE,5,0.8657245911403373,0.9626469262682872,0.9626469262682872,0.870320256213029,LaBSE
sentence-transformers/LaBSE,6,0.8950479009774335,0.963866189534949,0.963866189534949,0.8967354345254712,LaBSE
sentence-transformers/LaBSE,7,0.8887425869224707,0.9610042234069114,0.9610042234069114,0.8933158160473895,LaBSE
sentence-transformers/LaBSE,8,0.8808170174008175,0.9663306707968344,0.9663306707968344,0.884805904555372,LaBSE
sentence-transformers/LaBSE,9,0.9175491945929732,0.9707086156008318,0.9707086156008318,0.916016679707752,LaBSE
sentence-transformers/LaBSE,10,0.9357517949559502,0.973553150371079,0.973553150371079,0.9358151650614966,LaBSE
sentence-transformers/LaBSE,11,0.960591859844374,0.9796258791972564,0.9796258791972564,0.958890958592352,LaBSE
sentence-transformers/LaBSE,12,0.9565971050026624,0.977702555285037,0.982421192245349,0.9559031748743392,LaBSE
Qwen/Qwen3-Embedding-0.6B,1,0.8585555297262343,0.9816885074513216,0.9804788939315844,0.8521551147253031,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,2,0.8644729216654378,0.972238609876002,0.972238609876002,0.8541064309164429,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,3,0.863650284746518,0.977175814176506,0.9748015300034328,0.8593338075712716,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,4,0.861326870650946,0.9761022792587768,0.9767951814543906,0.8607476523184507,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,5,0.861952162804761,0.9708353924420434,0.9708353924420434,0.8590710780440853,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,6,0.8678886894022793,0.9739465784515726,0.9739465784515726,0.8622866873648206,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,7,0.8768702090952494,0.9713756866945352,0.9713756866945352,0.8670694819782334,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,8,0.8835807461289633,0.9694739196072372,0.9694739196072372,0.8688940762733396,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,9,0.8817856917352975,0.9683889034366424,0.9683889034366424,0.8668451499730929,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,10,0.887721428495879,0.9663662477997316,0.9663662477997316,0.8712698874644911,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,11,0.8956757000050046,0.964432985678402,0.964432985678402,0.8757653485577874,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,12,0.902547540056294,0.9666860150006746,0.9666860150006746,0.8824344798209481,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,13,0.9080693610530538,0.966833064323267,0.966833064323267,0.8882387465063453,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,14,0.9061393452760036,0.9659268924183942,0.9659268924183942,0.8866116343392895,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,15,0.9018402101726326,0.9671536305186764,0.9671536305186764,0.8837956412997447,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,16,0.9112511355909176,0.9646412370613836,0.9646412370613836,0.8947506658783254,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,17,0.9166203944322036,0.9671189738475146,0.9737462460424018,0.9001707238262577,Qwen3-0.6B
Qwen/Qwen3-Embedding-0.6B,18,0.9343253769204884,0.9657264753020738,0.971552330863746,0.91522975257591,Qwen3-0.6B
