model,layer,existing_acc__abtt_optimal,existing_acc__baseline,new_acc__abtt_optimal,new_acc__baseline,overall_assignment_acc__abtt_optimal,overall_assignment_acc__baseline,model_display
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,3,0.9233644859813084,0.4429906542056074,0.9071207430340558,0.8699690402476781,0.9172494172494172,0.6037296037296037,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,4,0.930841121495327,0.308411214953271,0.8947368421052632,0.934984520123839,0.9172494172494172,0.5442890442890443,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,5,0.9046728971962616,0.3383177570093458,0.9226006191950464,0.8823529411764706,0.9114219114219114,0.5431235431235432,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,6,0.8953271028037383,0.2560747663551402,0.9195046439628484,0.9102167182662538,0.9044289044289044,0.5023310023310024,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,7,0.8635514018691589,0.4747663551401869,0.9442724458204336,0.8544891640866873,0.8939393939393939,0.6177156177156177,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,8,0.8616822429906542,0.4672897196261682,0.913312693498452,0.8699690402476781,0.8811188811188811,0.6188811188811189,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,9,0.8728971962616823,0.4691588785046729,0.8699690402476781,0.8854489164086687,0.8717948717948718,0.6258741258741258,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,10,0.874766355140187,0.4485981308411215,0.8699690402476781,0.8854489164086687,0.872960372960373,0.6130536130536131,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,11,0.8616822429906542,0.4579439252336448,0.8637770897832817,0.8854489164086687,0.8624708624708625,0.6188811188811189,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,12,0.8616822429906542,0.5065420560747663,0.9040247678018576,0.8947368421052632,0.8776223776223776,0.6526806526806527,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,0.8598130841121495,0.5401869158878505,0.8699690402476781,0.8947368421052632,0.8636363636363636,0.6736596736596736,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,14,0.8355140186915888,0.5925233644859813,0.8854489164086687,0.8452012383900929,0.8543123543123543,0.6876456876456877,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,15,0.8635514018691589,0.5663551401869159,0.826625386996904,0.8978328173374613,0.8496503496503497,0.6911421911421911,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,16,0.8485981308411215,0.5495327102803739,0.8297213622291022,0.934984520123839,0.8414918414918415,0.6946386946386947,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,17,0.8635514018691589,0.6747663551401869,0.8885448916408669,0.9195046439628484,0.872960372960373,0.7668997668997669,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,18,0.874766355140187,0.697196261682243,0.8978328173374613,0.959752321981424,0.8834498834498834,0.796037296037296,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,19,0.8728971962616823,0.7214953271028037,0.891640866873065,0.9659442724458204,0.87995337995338,0.8135198135198135,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,20,0.7906542056074767,0.7046728971962617,0.913312693498452,0.9659442724458204,0.8368298368298368,0.803030303030303,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,21,0.811214953271028,0.7271028037383177,0.9256965944272446,0.9659442724458204,0.8543123543123543,0.817016317016317,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,22,0.8785046728971962,0.8504672897196262,0.9226006191950464,0.9164086687306502,0.8951048951048951,0.8752913752913752,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,0.8841121495327103,0.8485981308411215,0.8978328173374613,0.9195046439628484,0.8892773892773893,0.8752913752913752,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,24,0.891588785046729,0.7869158878504673,0.8668730650154799,0.9442724458204336,0.8822843822843823,0.8461538461538461,KaLM-mini
