model,layer,aucroc__abtt_optimal,aucroc__baseline,gap__abtt_optimal,gap__baseline,model_display
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,7,0.9790755117985168,0.8882110171137585,0.5244108768820297,0.0719320178031921,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,8,0.9761156136293444,0.8898009261696329,0.5236603122903034,0.0717519521713256,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,9,0.9740671186284858,0.892197398048724,0.5072998437099159,0.0663318037986755,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,10,0.97116824000398,0.892529120113799,0.4943724093318451,0.066790223121643,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,11,0.9701559916274364,0.8941447438635475,0.4747416697937296,0.0611189603805542,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,12,0.970415015000596,0.9050501624631092,0.4754557658743579,0.0707105994224548,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,13,0.9677065476160982,0.9003273118727988,0.4671382041415199,0.0662407279014587,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,14,0.9713996288234444,0.903746387943734,0.4712413294764701,0.0633278489112854,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,15,0.973321198234614,0.9068218525319832,0.4684262299269903,0.066858172416687,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,16,0.9717617738100512,0.9165389098995708,0.4890426449856022,0.0710402727127075,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,17,0.974828160204001,0.9259523094386908,0.5010944426685455,0.0745169520378112,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,18,0.9765005592368816,0.9445483002265088,0.5190632859012112,0.0601533651351928,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,19,0.9792379890781184,0.9555971780657,0.5309505533223273,0.0609828233718872,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,20,0.9802894803036368,0.9604425111415408,0.554837669362314,0.0539082288742065,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,21,0.9807017382026856,0.9618969878002784,0.5548774865455925,0.0426516532897949,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,22,0.9852572135853012,0.970983416927382,0.5545310745292227,0.0503767132759094,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,0.9857163800593264,0.9715439862832048,0.551902471575886,0.056228220462799,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,24,0.9812935761325806,0.9558330008471336,0.5200490236238693,0.2426598072052002,KaLM-mini
