model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-0.6B,english,25,whitening,0,none,0.001,0.7240006109922122,0.735822586200642,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,26,baseline_mean,0,none,0.001,0.5902566383963339,0.6092399034644393,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,26,sif_abtt_optimal,7,train_sweep,0.001,0.7274155690785805,0.7405397430062225,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,26,whitening,0,none,0.001,0.7271720386413933,0.7378903149633569,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,27,baseline_mean,0,none,0.001,0.5998767341535505,0.6178737677436906,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,27,sif_abtt_optimal,7,train_sweep,0.001,0.7215217201648555,0.7375891825710945,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,27,whitening,0,none,0.001,0.7260439692418075,0.7384738409222278,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,28,baseline_mean,0,none,0.001,0.7259746749394732,0.7518914215248761,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,28,sif_abtt_optimal,10,train_sweep,0.001,0.7245463927157052,0.7428213234713752,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,28,whitening,0,none,0.001,0.7330502628663699,0.7456958556706665,3564,3564
Qwen/Qwen3-Embedding-0.6B,french,0,baseline_mean,0,none,0.001,0.7399104913915199,0.7168055210619747,505,505
Qwen/Qwen3-Embedding-0.6B,french,0,sif_abtt_optimal,3,train_sweep,0.001,0.8526795431640953,0.8601053611365459,505,505
Qwen/Qwen3-Embedding-0.6B,french,0,whitening,0,none,0.001,0.5875602776449422,0.7117717873378713,505,505
Qwen/Qwen3-Embedding-0.6B,french,1,baseline_mean,0,none,0.001,0.6653076621650582,0.6760968584475758,505,505
Qwen/Qwen3-Embedding-0.6B,french,1,sif_abtt_optimal,10,train_sweep,0.001,0.8548963596317745,0.8613058826986327,505,505
Qwen/Qwen3-Embedding-0.6B,french,1,whitening,0,none,0.001,-0.20951048353160845,0.6972747675978048,505,505
Qwen/Qwen3-Embedding-0.6B,french,2,baseline_mean,0,none,0.001,0.6964787079881329,0.7016814044908487,505,505
Qwen/Qwen3-Embedding-0.6B,french,2,sif_abtt_optimal,10,train_sweep,0.001,0.8562160609665591,0.8586611912869507,505,505
Qwen/Qwen3-Embedding-0.6B,french,2,whitening,0,none,0.001,-0.23868726372090443,0.6769450342756123,505,505
Qwen/Qwen3-Embedding-0.6B,french,3,baseline_mean,0,none,0.001,0.5540893753429348,0.5647702147078748,505,505
Qwen/Qwen3-Embedding-0.6B,french,3,sif_abtt_optimal,10,train_sweep,0.001,0.8503542220199637,0.8507909086035436,505,505
Qwen/Qwen3-Embedding-0.6B,french,3,whitening,0,none,0.001,0.04915025447189341,0.5014089985680681,505,505
Qwen/Qwen3-Embedding-0.6B,french,4,baseline_mean,0,none,0.001,0.5474063916518777,0.5596590651990078,505,505
Qwen/Qwen3-Embedding-0.6B,french,4,sif_abtt_optimal,10,train_sweep,0.001,0.8529308212078546,0.849674629919833,505,505
Qwen/Qwen3-Embedding-0.6B,french,4,whitening,0,none,0.001,0.07019323748596028,0.5506979629765609,505,505
Qwen/Qwen3-Embedding-0.6B,french,5,baseline_mean,0,none,0.001,0.5531750451227738,0.5599156331549494,505,505
Qwen/Qwen3-Embedding-0.6B,french,5,sif_abtt_optimal,10,train_sweep,0.001,0.8508072266445169,0.8564957758750796,505,505
Qwen/Qwen3-Embedding-0.6B,french,5,whitening,0,none,0.001,0.08770689764721744,0.4825004463290907,505,505
Qwen/Qwen3-Embedding-0.6B,french,6,baseline_mean,0,none,0.001,0.5763727476058269,0.5841454559060758,505,505
Qwen/Qwen3-Embedding-0.6B,french,6,sif_abtt_optimal,10,train_sweep,0.001,0.857017596405789,0.8601442781948753,505,505
Qwen/Qwen3-Embedding-0.6B,french,6,whitening,0,none,0.001,0.25245685054062694,0.5298052039274064,505,505
Qwen/Qwen3-Embedding-0.6B,french,7,baseline_mean,0,none,0.001,0.5761324182418781,0.5807604115805127,505,505
Qwen/Qwen3-Embedding-0.6B,french,7,sif_abtt_optimal,10,train_sweep,0.001,0.84986499537827,0.8566298407222731,505,505
Qwen/Qwen3-Embedding-0.6B,french,7,whitening,0,none,0.001,0.1972142576110769,0.47113048850814493,505,505
Qwen/Qwen3-Embedding-0.6B,french,8,baseline_mean,0,none,0.001,0.5905665487770323,0.6004943523135963,505,505
Qwen/Qwen3-Embedding-0.6B,french,8,sif_abtt_optimal,10,train_sweep,0.001,0.8478405722240253,0.8588615657733476,505,505
Qwen/Qwen3-Embedding-0.6B,french,8,whitening,0,none,0.001,0.07579857499817634,0.4578190958846102,505,505
Qwen/Qwen3-Embedding-0.6B,french,9,baseline_mean,0,none,0.001,0.5889006160698844,0.5957637653206236,505,505
Qwen/Qwen3-Embedding-0.6B,french,9,sif_abtt_optimal,10,train_sweep,0.001,0.8533299037255551,0.864364939408458,505,505
Qwen/Qwen3-Embedding-0.6B,french,9,whitening,0,none,0.001,0.03563473077107929,0.4970348474138555,505,505
Qwen/Qwen3-Embedding-0.6B,french,10,baseline_mean,0,none,0.001,0.5886361864345246,0.5989464931803925,505,505
Qwen/Qwen3-Embedding-0.6B,french,10,sif_abtt_optimal,10,train_sweep,0.001,0.8496977523782263,0.8664255945816276,505,505
Qwen/Qwen3-Embedding-0.6B,french,10,whitening,0,none,0.001,0.13403834792997377,0.44464314571353997,505,505
Qwen/Qwen3-Embedding-0.6B,french,11,baseline_mean,0,none,0.001,0.6067288155535953,0.6230001288366743,505,505
