model,repr,layer,method,D,D_source,sif_a,spearman_test,auc_roc_test,acc_at_1_test,acc_at_3_test,acc_at_5_test,spearman_train,n_train_files,n_test_files,n_pos_test_pairs,n_neg_test_pairs
bowphs/LaTa,ff1,2,whitening,0,none,0.001,0.014494544319961203,0.5961700390488087,0.33214285714285713,0.35535714285714287,0.37142857142857144,nan,578,700,464,244186
bowphs/LaTa,ff1,3,baseline_mean,0,none,0.001,-0.00219816359126744,0.4854153760191849,0.05714285714285714,0.07142857142857142,0.08392857142857142,nan,578,700,464,244186
bowphs/LaTa,ff1,3,sif_abtt_optimal,1,train_sweep,0.001,0.0715967611540036,0.9750382745967814,0.8642857142857143,0.9089285714285714,0.9178571428571428,0.06510686019245304,578,700,464,244186
bowphs/LaTa,ff1,3,whitening,0,none,0.001,0.011145741633876475,0.5739510248617716,0.3339285714285714,0.3482142857142857,0.3607142857142857,nan,578,700,464,244186
bowphs/LaTa,ff1,4,baseline_mean,0,none,0.001,0.003468675506552585,0.5230143598845086,0.08035714285714286,0.09642857142857143,0.10714285714285714,nan,578,700,464,244186
bowphs/LaTa,ff1,4,sif_abtt_optimal,7,train_sweep,0.001,0.0734741768833318,0.9874947644489206,0.9160714285714285,0.9482142857142857,0.9535714285714286,0.06571615655299506,578,700,464,244186
bowphs/LaTa,ff1,4,whitening,0,none,0.001,0.01001817670784213,0.5664697295122967,0.3357142857142857,0.3607142857142857,0.3732142857142857,nan,578,700,464,244186
bowphs/LaTa,ff1,5,baseline_mean,0,none,0.001,0.002071529226639392,0.5137444160005784,0.06607142857142857,0.08392857142857142,0.09642857142857143,nan,578,700,464,244186
bowphs/LaTa,ff1,5,sif_abtt_optimal,7,train_sweep,0.001,0.07330020436573058,0.9863404719466251,0.9142857142857143,0.9392857142857143,0.9464285714285714,0.06653938457770157,578,700,464,244186
bowphs/LaTa,ff1,5,whitening,0,none,0.001,0.013637680946892664,0.5904848148542505,0.3375,0.3607142857142857,0.36964285714285716,nan,578,700,464,244186
bowphs/LaTa,ff1,6,baseline_mean,0,none,0.001,0.006588539999697981,0.5437143890736768,0.14285714285714285,0.175,0.2,nan,578,700,464,244186
bowphs/LaTa,ff1,6,sif_abtt_optimal,10,train_sweep,0.001,0.07278073576237568,0.9828938430060523,0.9178571428571428,0.9428571428571428,0.9517857142857142,0.0657537009668991,578,700,464,244186
bowphs/LaTa,ff1,6,whitening,0,none,0.001,0.011328062427661939,0.5751606869353689,0.3375,0.35892857142857143,0.36607142857142855,nan,578,700,464,244186
bowphs/LaTa,ff1,7,baseline_mean,0,none,0.001,-5.2443567410271437e-05,0.4996520414977616,0.13035714285714287,0.15892857142857142,0.17142857142857143,nan,578,700,464,244186
bowphs/LaTa,ff1,7,sif_abtt_optimal,1,train_sweep,0.001,0.07206559995560541,0.978148979212285,0.8839285714285714,0.9196428571428571,0.9303571428571429,0.06497761541405081,578,700,464,244186
bowphs/LaTa,ff1,7,whitening,0,none,0.001,0.014603650713179574,0.5968938239773129,0.3142857142857143,0.3607142857142857,0.37142857142857144,nan,578,700,464,244186
bowphs/LaTa,ff1,8,baseline_mean,0,none,0.001,0.013523916289430187,0.5897300067260768,0.175,0.22857142857142856,0.24464285714285713,nan,578,700,464,244186
bowphs/LaTa,ff1,8,sif_abtt_optimal,2,train_sweep,0.001,0.07193843815563279,0.9773052717445181,0.8803571428571428,0.9357142857142857,0.9410714285714286,0.06517147150940684,578,700,464,244186
bowphs/LaTa,ff1,8,whitening,0,none,0.001,0.014545496738711283,0.5965075785219689,0.3053571428571429,0.325,0.32857142857142857,nan,578,700,464,244186
bowphs/LaTa,ff1,9,baseline_mean,0,none,0.001,0.020645144696675447,0.6369787369902028,0.28035714285714286,0.32857142857142857,0.3517857142857143,nan,578,700,464,244186
bowphs/LaTa,ff1,9,sif_abtt_optimal,1,train_sweep,0.001,0.07182812103077629,0.9765733272290738,0.8714285714285714,0.9232142857142858,0.9357142857142857,0.06523156534885184,578,700,464,244186
bowphs/LaTa,ff1,9,whitening,0,none,0.001,0.016532150459428498,0.6096886829415225,0.3142857142857143,0.3410714285714286,0.3517857142857143,nan,578,700,464,244186
bowphs/LaTa,ff1,10,baseline_mean,0,none,0.001,0.03342160330324632,0.721749427090203,0.4517857142857143,0.4982142857142857,0.5339285714285714,nan,578,700,464,244186
bowphs/LaTa,ff1,10,sif_abtt_optimal,5,train_sweep,0.001,0.07249307532257553,0.9809852410415237,0.9125,0.9410714285714286,0.9517857142857142,0.06624062050678832,578,700,464,244186
bowphs/LaTa,ff1,10,whitening,0,none,0.001,0.013039568848210285,0.5865163915819399,0.3196428571428571,0.3464285714285714,0.35714285714285715,nan,578,700,464,244186
bowphs/LaTa,ff1,11,baseline_mean,0,none,0.001,0.026394873616617142,0.6751276876064233,0.32321428571428573,0.39285714285714285,0.42678571428571427,nan,578,700,464,244186
bowphs/LaTa,ff1,11,sif_abtt_optimal,5,train_sweep,0.001,0.07297854330238362,0.984206278806122,0.8982142857142857,0.9267857142857143,0.9285714285714286,0.0656073543093622,578,700,464,244186
bowphs/LaTa,ff1,11,whitening,0,none,0.001,0.009493476763243693,0.5629882469115544,0.3107142857142857,0.34285714285714286,0.35892857142857143,nan,578,700,464,244186
bowphs/PhilTa,hidden,0,baseline_mean,0,none,0.001,0.0693321274079332,0.9600126269276924,0.8839285714285714,0.9196428571428571,0.9267857142857143,nan,578,700,464,244186
bowphs/PhilTa,hidden,0,sif_abtt_optimal,2,train_sweep,0.001,0.07269679306486974,0.9823368905190135,0.9160714285714285,0.95,0.9607142857142857,0.06582004271816348,578,700,464,244186
bowphs/PhilTa,hidden,0,whitening,0,none,0.001,0.01436971479366803,0.5953373022317356,0.21964285714285714,0.26607142857142857,0.2875,nan,578,700,464,244186
bowphs/PhilTa,hidden,1,baseline_mean,0,none,0.001,0.037141771685030654,0.7464324202974726,0.65,0.6910714285714286,0.7125,nan,578,700,464,244186
bowphs/PhilTa,hidden,1,sif_abtt_optimal,1,train_sweep,0.001,0.07293755100131918,0.9839342984587498,0.9125,0.9410714285714286,0.9535714285714286,0.06569121235821598,578,700,464,244186
bowphs/PhilTa,hidden,1,whitening,0,none,0.001,0.013562962095884925,0.5899890703016948,0.3,0.33035714285714285,0.35,nan,578,700,464,244186
bowphs/PhilTa,hidden,2,baseline_mean,0,none,0.001,0.034033081106389126,0.7258065290534604,0.575,0.6375,0.6571428571428571,nan,578,700,464,244186
bowphs/PhilTa,hidden,2,sif_abtt_optimal,1,train_sweep,0.001,0.07252800444515274,0.981216992727703,0.8928571428571429,0.9303571428571429,0.9428571428571428,0.06541952468085119,578,700,464,244186
bowphs/PhilTa,hidden,2,whitening,0,none,0.001,0.011750552985261488,0.5779638955973923,0.2875,0.3196428571428571,0.33214285714285713,nan,578,700,464,244186
bowphs/PhilTa,hidden,3,baseline_mean,0,none,0.001,0.009759145368492423,0.5647510795543927,0.08035714285714286,0.1125,0.12678571428571428,nan,578,700,464,244186
