model,layer,rpr,cgs,isotropy_baseline,isotropy_abtt,isotropy_gain,pc1_var_explained,aucroc_baseline,aucroc_abtt,delta_aucroc
Qwen3-0.6B,5,0.9494844675064087,0.517836332321167,1.1625883900023837e-07,8.507630155918378e-08,0.7317835124691839,0.9977601170539856,0.7875769261519119,0.9686645930181652,0.18108766686625333
Qwen3-0.6B,6,0.9364491105079651,0.5161182284355164,6.743182723312202e-08,7.223689379998177e-08,1.0712581397245533,0.996263325214386,0.8009416013629765,0.9759324615673974,0.1749908602044209
Qwen3-0.6B,7,0.9330609440803528,0.511114776134491,3.0693264818637545e-08,6.82104968063868e-08,2.222327836723582,0.9955418109893799,0.8087706442906597,0.9768027939834109,0.16803214969275115
Qwen3-0.6B,8,0.9267016649246216,0.5048372745513916,4.8905654637110274e-08,7.270652702118241e-08,1.4866691297903967,0.9944556355476379,0.8084832877018282,0.9770292591591194,0.16854597145729122
Qwen3-0.6B,9,0.923832356929779,0.4945164918899536,5.730453978003425e-08,7.363340870369939e-08,1.2849489584305913,0.9935078024864197,0.8121259326009375,0.9757077661693636,0.16358183356842615
Qwen3-0.6B,10,0.9159495234489441,0.48143261671066284,6.422886400514471e-08,7.594519502163166e-08,1.1824153548091474,0.9917322993278503,0.8196450763966566,0.977262537978876,0.15761746158221934
Qwen3-0.6B,11,0.9013440608978271,0.4842481017112732,6.40661923512198e-08,7.574563198886608e-08,1.1823026967736425,0.9874950647354126,0.8382211827433049,0.9720183991396404,0.13379721639633546
Qwen3-0.6B,12,0.8848896026611328,0.5016276240348816,9.244628529359034e-08,7.249440159284859e-08,0.784178632625652,0.9827333092689514,0.8562944952525493,0.9732918869099676,0.11699739165741829
Qwen3-0.6B,13,0.8834192156791687,0.4933314323425293,8.752764557584669e-08,6.868074109434019e-08,0.784674837789681,0.9817842841148376,0.8550066059163932,0.9743240876165604,0.1193174817001672
Qwen3-0.6B,14,0.8790337443351746,0.4874553680419922,9.814788626272275e-08,6.689515430480242e-08,0.6815750888993894,0.9803892970085144,0.8572823409061677,0.9724502248922858,0.1151678839861181
Qwen3-0.6B,15,0.8766769170761108,0.4806647002696991,9.465635741889855e-08,6.517381478943207e-08,0.6885307713776427,0.9786441326141357,0.8559838771484051,0.9708527571963697,0.11486888004796458
Qwen3-0.6B,16,0.8651123046875,0.4707699120044708,9.560792335605584e-08,7.749856933969568e-08,0.8105873092869231,0.9729983806610107,0.8548333225598117,0.9695824329036358,0.11474911034382407
Qwen3-0.6B,17,0.8263407349586487,0.4784429967403412,1.054350349249944e-07,7.904394294655503e-08,0.7496933348842368,0.9552611708641052,0.8689306525449028,0.9747445425476456,0.10581389000274288
Qwen3-0.6B,18,0.7894118428230286,0.48760437965393066,1.358971246645524e-07,8.814357244091298e-08,0.6486051317015428,0.9301350712776184,0.8897911547308215,0.9746357454650886,0.08484459073426709
Qwen3-0.6B,19,0.7568327784538269,0.4871904253959656,1.730381029574346e-07,8.152530028837646e-08,0.4711407423856857,0.8989786505699158,0.9009842242460514,0.9757585587886296,0.0747743345425782
Qwen3-0.6B,20,0.708102285861969,0.5043385028839111,2.99468325692942e-07,8.871080581229762e-08,0.2962276748535225,0.8390471935272217,0.9168898909370082,0.9755369273181952,0.05864703638118696
Qwen3-0.6B,21,0.649769127368927,0.5176253914833069,2.8703439625132887e-07,8.230839654288502e-08,0.28675447130320697,0.7456744313240051,0.9281265522885902,0.9797395630569352,0.05161301076834501
Qwen3-0.6B,22,0.5996142625808716,0.5301332473754883,3.5269184195385606e-07,8.840613219263105e-08,0.2506611202087219,0.652417004108429,0.9370862840504672,0.9799116518135864,0.04282536776311918
Qwen3-0.6B,23,0.577805757522583,0.5353848338127136,6.226809432519076e-07,9.074700813016534e-08,0.14573596496505167,0.6045159101486206,0.9396675490335707,0.9754248450858296,0.03575729605225886
Qwen3-0.6B,24,0.5516178011894226,0.5351772904396057,4.975149749952834e-07,9.372624987236122e-08,0.18838880150944154,0.5416203737258911,0.9415529042516207,0.978838679853811,0.03728577560219026
Qwen3-0.6B,25,0.5296806693077087,0.5320618152618408,6.880990781610308e-07,9.271957424061839e-08,0.13474741818927405,0.481196790933609,0.9430081150058166,0.9758958935361924,0.03288777853037583
Qwen3-0.6B,26,0.5029900074005127,0.5315491557121277,5.898995709685551e-07,9.154661029242561e-08,0.15519016252565737,0.4184451401233673,0.9465482344720038,0.9758493705055666,0.02930113603356288
Qwen3-0.6B,27,0.49164438247680664,0.5329206585884094,6.553457296831766e-07,9.377149012834707e-08,0.14308705448295267,0.3790615499019623,0.9476443573359872,0.9738396109780902,0.026195253642103067
Qwen3-0.6B,28,0.3583468496799469,0.44899213314056396,1.4130396266409662e-06,9.358986829965943e-08,0.06623301040901333,0.11034631729125977,0.9519011925160172,0.974659305630384,0.022758113114366818
KaLM-mini,1,0.3378261625766754,0.483651340007782,1.4986972018959932e-06,7.443271243801064e-08,0.04966494388849612,0.07270710915327072,0.9260877684072474,0.965907091361985,0.03981932295473767
KaLM-mini,2,0.33777227997779846,0.5058648586273193,1.084371888282476e-06,8.469056211879433e-08,0.07810103068324165,0.07658791542053223,0.9247401158912364,0.968546559908368,0.04380644401713163
KaLM-mini,3,0.35013508796691895,0.4827195405960083,5.578316972787434e-07,8.979993992852542e-08,0.16098034652135088,0.32343927025794983,0.8902383222436853,0.9693860539483984,0.07914773170471312
KaLM-mini,4,0.3989887833595276,0.47759658098220825,7.605625569340191e-07,8.81754758097486e-08,0.11593454740291412,0.2413279414176941,0.8831747966492268,0.9709710004672656,0.08779620381803876
KaLM-mini,5,0.4635258615016937,0.46159833669662476,4.7576901351931156e-07,7.062021722958889e-08,0.1484338307516162,0.4290125370025635,0.8645979823915085,0.9655430702165044,0.1009450878249959
KaLM-mini,6,0.4421224296092987,0.4469323754310608,4.43580830733481e-07,7.199707141580802e-08,0.16230879791797495,0.3998663127422333,0.8680727860003861,0.9620617847968932,0.09398899879650713
KaLM-mini,7,0.42287683486938477,0.44620007276535034,5.375605383051152e-07,6.813775144109968e-08,0.12675363347155744,0.3523242175579071,0.8768105433974043,0.9635924212633656,0.08678187786596137
KaLM-mini,8,0.4186311960220337,0.4459956884384155,4.970126497028104e-07,6.668138041732163e-08,0.13416435267229895,0.31327196955680847,0.8790566788555679,0.9633216231569036,0.08426494430133569
KaLM-mini,9,0.43587949872016907,0.4333655536174774,7.076290557961329e-07,5.893010168733781e-08,0.08327823907829401,0.2957633435726166,0.8809204317248753,0.9668184604978324,0.08589802877295705
KaLM-mini,10,0.4612887501716614,0.4161500334739685,4.5389651859295554e-07,7.358062248385977e-08,0.16210880557523125,0.29952338337898254,0.8815295007116497,0.967971913097368,0.08644241238571826
KaLM-mini,11,0.47006654739379883,0.40402302145957947,5.359148076422571e-07,7.14028018933277e-08,0.13323535919349278,0.2719614803791046,0.8804566061796477,0.9709821058221748,0.0905254996425271
