model,layer,category,mean_delta,median_delta,std_delta,mean_abs_pc1,mean_abs_abtt,n_tokens
LaBSE,11,punctuation,-0.012586961993520721,-0.060618169605731964,0.5101047964603783,0.00921000588220614,0.009392273476812417,407
LaBSE,11,number,0.10255630420786994,-0.12384458631277084,0.6230674073827869,0.017317310707377537,0.020586217786850675,7
Qwen3-0.6B,1,content,-0.6172662633905879,-0.6197559833526611,0.1279828309160409,0.012229464769990112,0.05008144592499409,3503
Qwen3-0.6B,1,short_subword,-0.6763211786454513,-0.6650292873382568,0.11143249378716336,0.008887245966808394,0.04491119553409042,3057
Qwen3-0.6B,1,punctuation,-0.8323199572143974,-0.8924043476581573,0.1133841462646184,0.0037655108338855155,0.04348866915289354,364
Qwen3-0.6B,1,number,-0.907911707054485,-0.8975298404693604,0.05094788481504141,0.0015061062189157713,0.030379005453803322,11
Qwen3-0.6B,1,empty,-0.8712601591386725,-0.8690131902694702,0.07038942797220006,0.004007244724048078,0.059056130836257846,407
Qwen3-0.6B,4,content,0.9332212893667974,0.9716910719871521,0.1427036316575554,57.211300061554645,0.5163958688299011,3503
Qwen3-0.6B,4,short_subword,0.9442697037705993,0.9744671583175659,0.10978101019878402,50.244428380624335,0.45677230033145666,3057
Qwen3-0.6B,4,punctuation,0.9367449679104918,0.9702588319778442,0.1070077987984457,22.329374132800723,0.24326382910866023,364
Qwen3-0.6B,4,number,0.94517366994511,0.9622227549552917,0.08431818568915339,64.99288573319262,0.517373158596456,11
Qwen3-0.6B,4,empty,0.9565516628270068,0.978762686252594,0.12882274743221925,136.71356755454798,1.1926947288645353,407
Qwen3-0.6B,14,content,0.8640352877363661,0.9258466362953186,0.19604585523896287,56.47228625019448,1.7032008962365426,3503
Qwen3-0.6B,14,short_subword,0.8811607609120176,0.9303852915763855,0.1724549966296554,49.81490035401886,1.5344540974642262,3057
Qwen3-0.6B,14,punctuation,0.8903250217790828,0.9302246272563934,0.1404319619580739,22.202847446529912,0.7187993448972191,364
Qwen3-0.6B,14,number,0.862707796421918,0.9154965281486511,0.16967614334156406,64.84669918092814,2.0745018497109413,11
Qwen3-0.6B,14,empty,0.900673679092153,0.9350703358650208,0.15644357890406438,135.7996717941849,4.5173910977501945,407
Qwen3-0.6B,28,content,-0.40745486689973803,-0.5350486636161804,0.46471836274570133,0.4625211474631256,1.6754764883871776,3503
Qwen3-0.6B,28,short_subword,-0.4096303467531277,-0.5174833536148071,0.4567210355634339,0.29091051134886664,1.0499831464428437,3057
Qwen3-0.6B,28,punctuation,-0.4864542944418205,-0.5924308598041534,0.4290851192927499,0.09907191553649462,0.3199478464302157,364
Qwen3-0.6B,28,number,-0.4676574875007976,-0.6393818259239197,0.4490409522113247,0.2170242848382755,0.7328797995366834,11
Qwen3-0.6B,28,empty,-0.3147839665983824,-0.4319620430469513,0.5167596945045472,1.4321889805134687,3.7754239519332655,407
KaLM-mini,1,content,-0.2839446235193058,-0.26942217350006104,0.1946933573328832,0.02990463809257779,0.050474883736726164,3503
KaLM-mini,1,short_subword,-0.5391795306105811,-0.5287783741950989,0.21820540174402958,0.015566514737378813,0.04825100194514139,3057
KaLM-mini,1,punctuation,-0.6386824002960226,-0.6216446757316589,0.12462769986765211,0.010010213051298325,0.04118881510458068,364
KaLM-mini,1,number,-0.8664675246585499,-0.893124520778656,0.07583014089329332,0.0027453268200836396,0.039054100486365234,11
KaLM-mini,1,empty,-0.4582464920582264,-0.4475161135196686,0.17794471253088748,0.01858463949015872,0.046622504467597685,407
KaLM-mini,5,content,0.48601483025914044,0.5718944072723389,0.29996235451654324,1.2520434310398687,0.31722538070229467,3503
KaLM-mini,5,short_subword,0.5137395085003758,0.5902820825576782,0.2774450254457429,1.4361756127114425,0.34274228094060355,3057
KaLM-mini,5,punctuation,0.5728729892890532,0.6146716177463531,0.19900162305218413,1.2730070384178351,0.2990976286115596,364
KaLM-mini,5,number,0.48057268966328015,0.6000015139579773,0.36618950960882696,1.8527018238197674,0.4467563107609749,11
KaLM-mini,5,empty,0.5867553533761961,0.6451801061630249,0.28538018888728034,1.1786425480440588,0.23414624340292203,407
KaLM-mini,13,content,0.3547802437260133,0.43476611375808716,0.311787156504001,1.5495141866507103,0.5926190489762716,3503
KaLM-mini,13,short_subword,0.40470281184705337,0.48060843348503113,0.290463464592428,1.7459447558068706,0.5815607579906328,3057
KaLM-mini,13,punctuation,0.4121769692820425,0.47150321304798126,0.25588643360338315,1.4802747354484522,0.5123858561043392,364
KaLM-mini,13,number,0.3600396053357558,0.46043384075164795,0.29566347398734927,2.305686828765002,0.8365248008207842,11
KaLM-mini,13,empty,0.5011122738393321,0.5598839521408081,0.3462610073363301,1.3196020281486927,0.34862201614648614,407
KaLM-mini,23,content,-0.2861506458821238,-0.3670596182346344,0.4758903021691097,0.37863014428337965,0.7852715329723574,3503
KaLM-mini,23,short_subword,-0.37173551134319593,-0.4725561738014221,0.47050702039509545,0.22968114754517152,0.649756585755518,3057
KaLM-mini,23,punctuation,-0.5240056599614435,-0.6535526216030121,0.4180758717525017,0.12529844643578833,0.5268319973230853,364
KaLM-mini,23,number,-0.7697620473124764,-0.8074172139167786,0.18537424389556748,0.1504384751685641,1.4763302532109348,11
