file_id,folder_id,filename,path,query_mask,baseline_hit@1,baseline_hit@3,baseline_hit@5,baseline_best_same,baseline_best_diff,baseline_margin,variance_drop_lowest_percent25_hit@1,variance_drop_lowest_percent25_hit@3,variance_drop_lowest_percent25_hit@5,variance_drop_lowest_percent25_best_same,variance_drop_lowest_percent25_best_diff,variance_drop_lowest_percent25_margin,variance_drop_lowest_percent25_margin_delta,variance_drop_lowest_percent50_hit@1,variance_drop_lowest_percent50_hit@3,variance_drop_lowest_percent50_hit@5,variance_drop_lowest_percent50_best_same,variance_drop_lowest_percent50_best_diff,variance_drop_lowest_percent50_margin,variance_drop_lowest_percent50_margin_delta
169,CANC.314.6,KoeD213.21v.2.txt,/u/irowerojas/localLatin/canon/CANC.314.6/KoeD213.21v.2.txt,True,1.0,1.0,1.0,0.8630059361457825,0.8147757053375244,0.04823023080825806,1.0,1.0,1.0,0.8495409488677979,0.8074421286582947,0.042098820209503174,-0.006131410598754883,1.0,1.0,1.0,0.8501176238059998,0.8172374963760376,0.03288012742996216,-0.015350103378295898
170,CANC.314.7,BAV1341.11v.3.txt,/u/irowerojas/localLatin/canon/CANC.314.7/BAV1341.11v.3.txt,True,1.0,1.0,1.0,0.8903029561042786,0.8279775381088257,0.06232541799545288,1.0,1.0,1.0,0.892109751701355,0.8225210905075073,0.06958866119384766,0.007263243198394775,1.0,1.0,1.0,0.8976242542266846,0.8367047309875488,0.06091952323913574,-0.0014058947563171387
171,CANC.314.7,C1525.19v.3.txt,/u/irowerojas/localLatin/canon/CANC.314.7/C1525.19v.3.txt,True,1.0,1.0,1.0,0.9019818305969238,0.8092985153198242,0.09268331527709961,1.0,1.0,1.0,0.9011964201927185,0.7977194786071777,0.10347694158554077,0.010793626308441162,1.0,1.0,1.0,0.9016014337539673,0.8127132058143616,0.08888822793960571,-0.0037950873374938965
172,CANC.314.7,Hat42.157v.2.txt,/u/irowerojas/localLatin/canon/CANC.314.7/Hat42.157v.2.txt,True,1.0,1.0,1.0,0.9019818305969238,0.782599925994873,0.11938190460205078,1.0,1.0,1.0,0.9011964201927185,0.7730005979537964,0.12819582223892212,0.008813917636871338,1.0,1.0,1.0,0.9016014337539673,0.7886838316917419,0.11291760206222534,-0.0064643025398254395
173,CANC.314.7,KoeD213.22r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.7/KoeD213.22r.1.txt,True,1.0,1.0,1.0,0.8366377949714661,0.7955104112625122,0.04112738370895386,1.0,1.0,1.0,0.8289859890937805,0.7941192388534546,0.03486675024032593,-0.00626063346862793,1.0,1.0,1.0,0.8341904878616333,0.796045184135437,0.03814530372619629,-0.0029820799827575684
174,CANC.314.8,BAV1341.11v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.8/BAV1341.11v.4.txt,True,1.0,1.0,1.0,0.931160569190979,0.8822983503341675,0.04886221885681152,1.0,1.0,1.0,0.9310380220413208,0.8760191202163696,0.05501890182495117,0.0061566829681396484,1.0,1.0,1.0,0.9326671361923218,0.8833075165748596,0.04935961961746216,0.0004974007606506348
175,CANC.314.8,C1525.19v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.8/C1525.19v.4.txt,True,1.0,1.0,1.0,0.9675631523132324,0.877830982208252,0.08973217010498047,1.0,1.0,1.0,0.9674628973007202,0.8698095083236694,0.09765338897705078,0.007921218872070312,1.0,1.0,1.0,0.968863308429718,0.8737061023712158,0.0951572060585022,0.0054250359535217285
176,CANC.314.8,Hat42.157v.3.txt,/u/irowerojas/localLatin/canon/CANC.314.8/Hat42.157v.3.txt,True,1.0,1.0,1.0,0.9675631523132324,0.8836989402770996,0.08386421203613281,1.0,1.0,1.0,0.9674628973007202,0.8771321773529053,0.09033071994781494,0.006466507911682129,1.0,1.0,1.0,0.968863308429718,0.8821516036987305,0.08671170473098755,0.0028474926948547363
177,CANC.314.8,KoeD213.22r.2.txt,/u/irowerojas/localLatin/canon/CANC.314.8/KoeD213.22r.2.txt,True,0.0,1.0,1.0,0.8750759363174438,0.8839399814605713,-0.008864045143127441,0.0,1.0,1.0,0.8691738843917847,0.8839716911315918,-0.014797806739807129,-0.0059337615966796875,0.0,0.0,0.0,0.8677767515182495,0.8893331289291382,-0.021556377410888672,-0.01269233226776123
178,CANC.314.9,BAV1341.11v.5.txt,/u/irowerojas/localLatin/canon/CANC.314.9/BAV1341.11v.5.txt,True,1.0,1.0,1.0,0.9327132105827332,0.8087369799613953,0.12397623062133789,1.0,1.0,1.0,0.9318060874938965,0.8030509948730469,0.1287550926208496,0.004778861999511719,1.0,1.0,1.0,0.9352681040763855,0.796153724193573,0.1391143798828125,0.01513814926147461
179,CANC.314.9,Brn425.55r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.9/Brn425.55r.5.txt,True,1.0,1.0,1.0,0.9286401271820068,0.8576850891113281,0.07095503807067871,1.0,1.0,1.0,0.9268159866333008,0.8484327793121338,0.07838320732116699,0.007428169250488281,1.0,1.0,1.0,0.9261407256126404,0.8472661972045898,0.07887452840805054,0.007919490337371826
180,CANC.314.9,C1525.20r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.9/C1525.20r.1.txt,True,1.0,1.0,1.0,0.9497789144515991,0.8200687766075134,0.1297101378440857,1.0,1.0,1.0,0.9491435289382935,0.8041466474533081,0.14499688148498535,0.015286743640899658,1.0,1.0,1.0,0.9500885009765625,0.8036069273948669,0.14648157358169556,0.016771435737609863
181,CANC.314.9,D1723.554.12.txt,/u/irowerojas/localLatin/canon/CANC.314.9/D1723.554.12.txt,True,1.0,1.0,1.0,0.9325371980667114,0.846031904220581,0.08650529384613037,1.0,1.0,1.0,0.9312873482704163,0.8374601602554321,0.09382718801498413,0.00732189416885376,1.0,1.0,1.0,0.9326367378234863,0.8341807126998901,0.09845602512359619,0.01195073127746582
182,CANC.314.9,Hat42.157v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.9/Hat42.157v.4.txt,True,1.0,1.0,1.0,0.9497789144515991,0.8135326504707336,0.13624626398086548,1.0,1.0,1.0,0.9491435289382935,0.8094704151153564,0.139673113822937,0.003426849842071533,1.0,1.0,1.0,0.9500885009765625,0.8130089044570923,0.13707959651947021,0.0008333325386047363
183,CANC.314.9,KoeD213.22r.3.txt,/u/irowerojas/localLatin/canon/CANC.314.9/KoeD213.22r.3.txt,True,1.0,1.0,1.0,0.9286401271820068,0.8420208096504211,0.0866193175315857,1.0,1.0,1.0,0.9268159866333008,0.8354243040084839,0.0913916826248169,0.004772365093231201,1.0,1.0,1.0,0.9261407256126404,0.829359769821167,0.09678095579147339,0.010161638259887695
184,CANT.328.1,BAV1341.16v.26.txt,/u/irowerojas/localLatin/canon/CANT.328.1/BAV1341.16v.26.txt,True,1.0,1.0,1.0,0.9530285000801086,0.8539155721664429,0.09911292791366577,1.0,1.0,1.0,0.9507683515548706,0.8401546478271484,0.11061370372772217,0.011500775814056396,1.0,1.0,1.0,0.9518285393714905,0.8360517024993896,0.11577683687210083,0.01666390895843506
185,CANT.328.1,C1525.27r.6.txt,/u/irowerojas/localLatin/canon/CANT.328.1/C1525.27r.6.txt,True,1.0,1.0,1.0,0.9414260387420654,0.8446232080459595,0.09680283069610596,1.0,1.0,1.0,0.9385565519332886,0.8255499601364136,0.113006591796875,0.016203761100769043,1.0,1.0,1.0,0.9373090863227844,0.8185688853263855,0.11874020099639893,0.02193737030029297
186,CANT.328.1,Hat42.167v.13.txt,/u/irowerojas/localLatin/canon/CANT.328.1/Hat42.167v.13.txt,True,1.0,1.0,1.0,0.9530285000801086,0.8345940113067627,0.11843448877334595,1.0,1.0,1.0,0.9507683515548706,0.8195029497146606,0.13126540184020996,0.012830913066864014,1.0,1.0,1.0,0.9518285393714905,0.8208062648773193,0.13102227449417114,0.012587785720825195
187,CANT.328.10,BAV1341.17r.8.txt,/u/irowerojas/localLatin/canon/CANT.328.10/BAV1341.17r.8.txt,True,1.0,1.0,1.0,0.9120006561279297,0.8554373979568481,0.05656325817108154,1.0,1.0,1.0,0.9094797372817993,0.8430191874504089,0.06646054983139038,0.009897291660308838,1.0,1.0,1.0,0.912114143371582,0.8503323793411255,0.06178176403045654,0.005218505859375
188,CANT.328.10,Brn425.57v.1.txt,/u/irowerojas/localLatin/canon/CANT.328.10/Brn425.57v.1.txt,True,1.0,1.0,1.0,0.951749324798584,0.8622468709945679,0.08950245380401611,1.0,1.0,1.0,0.9476585388183594,0.853428304195404,0.09423023462295532,0.004727780818939209,1.0,1.0,1.0,0.9481700658798218,0.8516602516174316,0.09650981426239014,0.0070073604583740234
189,CANT.328.10,C1525.28v.2.txt,/u/irowerojas/localLatin/canon/CANT.328.10/C1525.28v.2.txt,True,1.0,1.0,1.0,0.9643423557281494,0.8447365760803223,0.11960577964782715,1.0,1.0,1.0,0.9624229669570923,0.8303326368331909,0.13209033012390137,0.012484550476074219,1.0,1.0,1.0,0.9620732069015503,0.8275438547134399,0.13452935218811035,0.014923572540283203
190,CANT.328.10,D1723.557.5.txt,/u/irowerojas/localLatin/canon/CANT.328.10/D1723.557.5.txt,True,1.0,1.0,1.0,0.9643423557281494,0.853198766708374,0.11114358901977539,1.0,1.0,1.0,0.9624229669570923,0.8441811800003052,0.11824178695678711,0.007098197937011719,1.0,1.0,1.0,0.9620732069015503,0.8404468297958374,0.12162637710571289,0.0104827880859375
191,CANT.328.10,Hat42.169v.3.txt,/u/irowerojas/localLatin/canon/CANT.328.10/Hat42.169v.3.txt,True,1.0,1.0,1.0,0.9563722610473633,0.8485376834869385,0.1078345775604248,1.0,1.0,1.0,0.9532815217971802,0.8383849859237671,0.11489653587341309,0.007061958312988281,1.0,1.0,1.0,0.9553182125091553,0.8432829976081848,0.11203521490097046,0.004200637340545654
192,CANT.328.11,BAV1341.17v.1.txt,/u/irowerojas/localLatin/canon/CANT.328.11/BAV1341.17v.1.txt,True,1.0,1.0,1.0,0.9046478271484375,0.8539873361587524,0.05066049098968506,1.0,1.0,1.0,0.8982468843460083,0.8477391004562378,0.05050778388977051,-0.00015270709991455078,1.0,1.0,1.0,0.8997290134429932,0.842681884765625,0.057047128677368164,0.0063866376876831055
193,CANT.328.11,Brn425.35r.1.txt,/u/irowerojas/localLatin/canon/CANT.328.11/Brn425.35r.1.txt,True,1.0,1.0,1.0,0.9366734027862549,0.8969371318817139,0.039736270904541016,1.0,1.0,1.0,0.9320676922798157,0.8903446197509766,0.04172307252883911,0.0019868016242980957,1.0,1.0,1.0,0.9312601089477539,0.8906558156013489,0.04060429334640503,0.0008680224418640137
194,CANT.328.11,C1525.28v.3.txt,/u/irowerojas/localLatin/canon/CANT.328.11/C1525.28v.3.txt,True,1.0,1.0,1.0,0.9533502459526062,0.8773414492607117,0.07600879669189453,1.0,1.0,1.0,0.9505624771118164,0.8664548397064209,0.08410763740539551,0.008098840713500977,1.0,1.0,1.0,0.9523688554763794,0.8701475858688354,0.08222126960754395,0.006212472915649414
195,CANT.328.11,D1723.537.6.txt,/u/irowerojas/localLatin/canon/CANT.328.11/D1723.537.6.txt,True,1.0,1.0,1.0,0.9551184177398682,0.894539475440979,0.06057894229888916,1.0,1.0,1.0,0.9535837173461914,0.8862105011940002,0.06737321615219116,0.006794273853302002,1.0,1.0,1.0,0.9523688554763794,0.8838739395141602,0.06849491596221924,0.007915973663330078
196,CANT.328.11,Hat42.170r.1.txt,/u/irowerojas/localLatin/canon/CANT.328.11/Hat42.170r.1.txt,True,1.0,1.0,1.0,0.9551184177398682,0.8527013063430786,0.10241711139678955,1.0,1.0,1.0,0.9535837173461914,0.8426343202590942,0.11094939708709717,0.008532285690307617,1.0,1.0,1.0,0.9518768787384033,0.8379415273666382,0.11393535137176514,0.011518239974975586
197,CANT.328.12,BAV1341.17v.2.txt,/u/irowerojas/localLatin/canon/CANT.328.12/BAV1341.17v.2.txt,True,1.0,1.0,1.0,0.8837780952453613,0.8563362956047058,0.027441799640655518,1.0,1.0,1.0,0.8761183023452759,0.8454819917678833,0.030636310577392578,0.0031945109367370605,1.0,1.0,1.0,0.8708044290542603,0.8454412221908569,0.02536320686340332,-0.0020785927772521973
198,CANT.328.12,Brn425.35r.2.txt,/u/irowerojas/localLatin/canon/CANT.328.12/Brn425.35r.2.txt,True,1.0,1.0,1.0,0.9335405826568604,0.8969371318817139,0.036603450775146484,1.0,1.0,1.0,0.92608243227005,0.8903446197509766,0.035737812519073486,-0.000865638256072998,1.0,1.0,1.0,0.9318374395370483,0.8906558156013489,0.04118162393569946,0.0045781731605529785
199,CANT.328.12,C1525.28v.4.txt,/u/irowerojas/localLatin/canon/CANT.328.12/C1525.28v.4.txt,True,1.0,1.0,1.0,0.9672989249229431,0.8761780261993408,0.0911208987236023,1.0,1.0,1.0,0.9654065370559692,0.8637321591377258,0.10167437791824341,0.010553479194641113,1.0,1.0,1.0,0.9645700454711914,0.8617170453071594,0.10285300016403198,0.011732101440429688
200,CANT.328.12,D1723.537.7.txt,/u/irowerojas/localLatin/canon/CANT.328.12/D1723.537.7.txt,True,1.0,1.0,1.0,0.9672989249229431,0.894539475440979,0.07275944948196411,1.0,1.0,1.0,0.9654065370559692,0.8862105011940002,0.079196035861969,0.006436586380004883,1.0,1.0,1.0,0.9645700454711914,0.8838739395141602,0.08069610595703125,0.007936656475067139
201,CANT.328.12,Hat42.170r.2.txt,/u/irowerojas/localLatin/canon/CANT.328.12/Hat42.170r.2.txt,True,1.0,1.0,1.0,0.9374285936355591,0.8415175080299377,0.09591108560562134,1.0,1.0,1.0,0.932185173034668,0.8309478759765625,0.10123729705810547,0.005326211452484131,1.0,1.0,1.0,0.9322418570518494,0.829139232635498,0.10310262441635132,0.0071915388107299805
202,CANT.328.13,BAV1341.17v.3.txt,/u/irowerojas/localLatin/canon/CANT.328.13/BAV1341.17v.3.txt,True,1.0,1.0,1.0,0.8956804275512695,0.8737967014312744,0.021883726119995117,1.0,1.0,1.0,0.8934568762779236,0.8748444318771362,0.018612444400787354,-0.0032712817192077637,1.0,1.0,1.0,0.8968300223350525,0.8742146492004395,0.022615373134613037,0.0007316470146179199
203,CANT.328.13,Brn425.58v.1.txt,/u/irowerojas/localLatin/canon/CANT.328.13/Brn425.58v.1.txt,True,1.0,1.0,1.0,0.9347043037414551,0.8783285617828369,0.056375741958618164,1.0,1.0,1.0,0.9328049421310425,0.8718693256378174,0.0609356164932251,0.004559874534606934,1.0,1.0,1.0,0.9296537637710571,0.8685442805290222,0.06110948324203491,0.004733741283416748
204,CANT.328.13,C1525.29r.1.txt,/u/irowerojas/localLatin/canon/CANT.328.13/C1525.29r.1.txt,True,1.0,1.0,1.0,0.9640108346939087,0.8773414492607117,0.08666938543319702,1.0,1.0,1.0,0.9637323617935181,0.8664548397064209,0.09727752208709717,0.010608136653900146,1.0,1.0,1.0,0.9625697135925293,0.8622767925262451,0.10029292106628418,0.013623535633087158
205,CANT.328.13,D1723.558.2.txt,/u/irowerojas/localLatin/canon/CANT.328.13/D1723.558.2.txt,True,1.0,1.0,1.0,0.9663898944854736,0.8821648359298706,0.08422505855560303,1.0,1.0,1.0,0.9655064940452576,0.8723018169403076,0.09320467710494995,0.008979618549346924,1.0,1.0,1.0,0.9650128483772278,0.8686630129814148,0.09634983539581299,0.012124776840209961
206,CANT.328.13,Hat42.170v.1.txt,/u/irowerojas/localLatin/canon/CANT.328.13/Hat42.170v.1.txt,True,1.0,1.0,1.0,0.9663898944854736,0.8527013063430786,0.11368858814239502,1.0,1.0,1.0,0.9655064940452576,0.8426343202590942,0.12287217378616333,0.00918358564376831,1.0,1.0,1.0,0.9650128483772278,0.8326324820518494,0.13238036632537842,0.0186917781829834
207,CANT.328.14,BAV1341.17v.4.txt,/u/irowerojas/localLatin/canon/CANT.328.14/BAV1341.17v.4.txt,True,1.0,1.0,1.0,0.8726891279220581,0.8266332149505615,0.04605591297149658,1.0,1.0,1.0,0.8684592843055725,0.8115177750587463,0.05694150924682617,0.01088559627532959,1.0,1.0,1.0,0.8700113296508789,0.8171108365058899,0.052900493144989014,0.006844580173492432
208,CANT.328.14,C1525.29r.2.txt,/u/irowerojas/localLatin/canon/CANT.328.14/C1525.29r.2.txt,True,1.0,1.0,1.0,0.9277101755142212,0.8090391159057617,0.11867105960845947,1.0,1.0,1.0,0.9251224994659424,0.80217045545578,0.12295204401016235,0.004280984401702881,1.0,1.0,1.0,0.922614336013794,0.8204063177108765,0.10220801830291748,-0.016463041305541992
209,CANT.328.14,Hat42.170v.2.txt,/u/irowerojas/localLatin/canon/CANT.328.14/Hat42.170v.2.txt,True,1.0,1.0,1.0,0.9277101755142212,0.8221859931945801,0.10552418231964111,1.0,1.0,1.0,0.9251224994659424,0.8212207555770874,0.10390174388885498,-0.0016224384307861328,1.0,1.0,1.0,0.922614336013794,0.8302239775657654,0.09239035844802856,-0.013133823871612549
210,CANT.328.15,BAV1341.17v.5.txt,/u/irowerojas/localLatin/canon/CANT.328.15/BAV1341.17v.5.txt,True,1.0,1.0,1.0,0.8252023458480835,0.7960659861564636,0.029136359691619873,1.0,1.0,1.0,0.8194255828857422,0.7786831855773926,0.04074239730834961,0.011606037616729736,1.0,1.0,1.0,0.8183218240737915,0.7868497371673584,0.031472086906433105,0.0023357272148132324
211,CANT.328.15,Brn425.35r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/Brn425.35r.3.txt,True,1.0,1.0,1.0,0.9402168989181519,0.8248854875564575,0.11533141136169434,1.0,1.0,1.0,0.9356306791305542,0.8134521245956421,0.12217855453491211,0.0068471431732177734,1.0,1.0,1.0,0.9351263046264648,0.8293523192405701,0.10577398538589478,-0.00955742597579956
212,CANT.328.15,C1525.29r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/C1525.29r.3.txt,True,1.0,1.0,1.0,0.9258121252059937,0.8090391159057617,0.11677300930023193,1.0,1.0,1.0,0.9233731031417847,0.80217045545578,0.12120264768600464,0.004429638385772705,1.0,1.0,1.0,0.9262484312057495,0.8204063177108765,0.10584211349487305,-0.010930895805358887
213,CANT.328.15,D1723.537.8.txt,/u/irowerojas/localLatin/canon/CANT.328.15/D1723.537.8.txt,True,1.0,1.0,1.0,0.9402168989181519,0.8173260688781738,0.12289083003997803,1.0,1.0,1.0,0.9356306791305542,0.806869387626648,0.12876129150390625,0.005870461463928223,1.0,1.0,1.0,0.9351263046264648,0.8102115392684937,0.12491476535797119,0.002023935317993164
214,CANT.328.15,Hat42.171r.1.txt,/u/irowerojas/localLatin/canon/CANT.328.15/Hat42.171r.1.txt,True,1.0,1.0,1.0,0.8832436800003052,0.8221859931945801,0.0610576868057251,1.0,1.0,1.0,0.8801429271697998,0.8212207555770874,0.0589221715927124,-0.0021355152130126953,1.0,1.0,1.0,0.8820420503616333,0.8302239775657654,0.05181807279586792,-0.009239614009857178
215,CANT.328.16,BAV1341.17v.6.txt,/u/irowerojas/localLatin/canon/CANT.328.16/BAV1341.17v.6.txt,True,1.0,1.0,1.0,0.8739743828773499,0.7899172902107239,0.08405709266662598,1.0,1.0,1.0,0.8659746050834656,0.7790412902832031,0.08693331480026245,0.0028762221336364746,1.0,1.0,1.0,0.8649110794067383,0.80970698595047,0.05520409345626831,-0.028852999210357666
216,CANT.328.16,Brn425.64r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.16/Brn425.64r.3.txt,True,1.0,1.0,1.0,0.9268445372581482,0.8408560752868652,0.08598846197128296,1.0,1.0,1.0,0.9219979047775269,0.8320962190628052,0.08990168571472168,0.003913223743438721,1.0,1.0,1.0,0.927642822265625,0.8352099657058716,0.09243285655975342,0.006444394588470459
217,CANT.328.16,C1525.29r.4.txt,/u/irowerojas/localLatin/canon/CANT.328.16/C1525.29r.4.txt,True,1.0,1.0,1.0,0.9455440044403076,0.837372899055481,0.10817110538482666,1.0,1.0,1.0,0.9469527006149292,0.819453239440918,0.12749946117401123,0.01932835578918457,1.0,1.0,1.0,0.9501056671142578,0.8222364187240601,0.12786924839019775,0.019698143005371094
218,CANT.328.16,D1723.563.2.txt,/u/irowerojas/localLatin/canon/CANT.328.16/D1723.563.2.txt,True,1.0,1.0,1.0,0.9455440044403076,0.824577808380127,0.12096619606018066,1.0,1.0,1.0,0.9469527006149292,0.8057464361190796,0.1412062644958496,0.020240068435668945,1.0,1.0,1.0,0.9501056671142578,0.8053612112998962,0.14474445581436157,0.023778259754180908
219,CANT.328.16,Hat42.171r.2.txt,/u/irowerojas/localLatin/canon/CANT.328.16/Hat42.171r.2.txt,True,1.0,1.0,1.0,0.9287434220314026,0.7919818162918091,0.1367616057395935,1.0,1.0,1.0,0.9232610464096069,0.7749855518341064,0.1482754945755005,0.011513888835906982,1.0,1.0,1.0,0.927642822265625,0.783629298210144,0.14401352405548096,0.007251918315887451
220,CANT.328.17,BAV1341.17v.7.txt,/u/irowerojas/localLatin/canon/CANT.328.17/BAV1341.17v.7.txt,True,1.0,1.0,1.0,0.8618495464324951,0.8270071744918823,0.03484237194061279,1.0,1.0,1.0,0.8546082377433777,0.8192114233970642,0.03539681434631348,0.0005544424057006836,1.0,1.0,1.0,0.859919548034668,0.8283008337020874,0.031618714332580566,-0.0032236576080322266
221,CANT.328.17,Brn425.58v.2.txt,/u/irowerojas/localLatin/canon/CANT.328.17/Brn425.58v.2.txt,True,1.0,1.0,1.0,0.9337960481643677,0.8635082840919495,0.07028776407241821,1.0,1.0,1.0,0.9279439449310303,0.8632221221923828,0.06472182273864746,-0.005565941333770752,1.0,1.0,1.0,0.9230183959007263,0.8760128617286682,0.047005534172058105,-0.023282229900360107
222,CANT.328.17,C1525.29v.1.txt,/u/irowerojas/localLatin/canon/CANT.328.17/C1525.29v.1.txt,True,1.0,1.0,1.0,0.9498076438903809,0.8687762022018433,0.0810314416885376,1.0,1.0,1.0,0.946904718875885,0.8498368263244629,0.09706789255142212,0.01603645086288452,1.0,1.0,1.0,0.9466884136199951,0.8525608777999878,0.09412753582000732,0.013096094131469727
223,CANT.328.17,D1723.558.3.txt,/u/irowerojas/localLatin/canon/CANT.328.17/D1723.558.3.txt,True,1.0,1.0,1.0,0.9498076438903809,0.8383654356002808,0.1114422082901001,1.0,1.0,1.0,0.946904718875885,0.8264828324317932,0.1204218864440918,0.0089796781539917,1.0,1.0,1.0,0.9466884136199951,0.8317911028862,0.11489731073379517,0.0034551024436950684
