model,repr,pooling,layer,method,D,sif_a,split,n_train,n_test_query,acc@1_all,acc@3_all,acc@5_all,acc@1_winnable,acc@3_winnable,acc@5_winnable,same_avg,diff_avg,gap,off_diag_mean
bowphs/LaTa,ff1,sif,3,abtt,10,0.001,clean,943,335,0.9283582089552239,0.9641791044776119,0.9701492537313433,0.9283582089552239,0.9641791044776119,0.9701492537313433,0.5172739624977112,-0.0008137019467540085,0.5180876644444652,0.00028913497226312757
bowphs/LaTa,ff1,sif,4,baseline,0,0.001,clean,943,335,0.8537313432835821,0.9194029850746268,0.9313432835820895,0.8537313432835821,0.9194029850746268,0.9313432835820895,0.7033323645591736,0.35017722845077515,0.35315513610839844,0.35092875361442566
bowphs/LaTa,ff1,sif,4,abtt,10,0.001,clean,943,335,0.9343283582089552,0.9582089552238806,0.9641791044776119,0.9343283582089552,0.9582089552238806,0.9641791044776119,0.5293260812759399,-0.0010286153992637992,0.5303546966752037,0.00010033400758402422
bowphs/LaTa,ff1,sif,5,baseline,0,0.001,clean,943,335,0.9104477611940298,0.9253731343283582,0.9253731343283582,0.9104477611940298,0.9253731343283582,0.9253731343283582,0.7239180207252502,0.3355504870414734,0.38836753368377686,0.33637726306915283
bowphs/LaTa,ff1,sif,5,abtt,10,0.001,clean,943,335,0.9253731343283582,0.9552238805970149,0.9582089552238806,0.9253731343283582,0.9552238805970149,0.9582089552238806,0.5491679310798645,-0.0010613572085276246,0.5502292882883921,0.00010989850125042722
bowphs/LaTa,ff1,sif,6,baseline,0,0.001,clean,943,335,0.9044776119402985,0.9194029850746268,0.9283582089552239,0.9044776119402985,0.9194029850746268,0.9283582089552239,0.7337468266487122,0.3726062774658203,0.36114054918289185,0.3733750879764557
bowphs/LaTa,ff1,sif,6,abtt,10,0.001,clean,943,335,0.9253731343283582,0.9432835820895522,0.9462686567164179,0.9253731343283582,0.9432835820895522,0.9462686567164179,0.5404605269432068,-0.0008756251190789044,0.5413361520622857,0.00027670024428516626
bowphs/LaTa,ff1,sif,7,baseline,0,0.001,clean,943,335,0.8537313432835821,0.8985074626865671,0.9134328358208955,0.8537313432835821,0.8985074626865671,0.9134328358208955,0.7174196839332581,0.3780905604362488,0.3393291234970093,0.3788129389286041
bowphs/LaTa,ff1,sif,7,abtt,10,0.001,clean,943,335,0.9373134328358209,0.9522388059701492,0.9522388059701492,0.9373134328358209,0.9522388059701492,0.9522388059701492,0.5376749038696289,-0.0008850631420500576,0.538559967011679,0.00026135280495509505
bowphs/LaTa,ff1,sif,8,baseline,0,0.001,clean,943,335,0.8626865671641791,0.9044776119402985,0.9104477611940298,0.8626865671641791,0.9044776119402985,0.9104477611940298,0.6680304408073425,0.31827324628829956,0.34975719451904297,0.31901782751083374
bowphs/LaTa,ff1,sif,8,abtt,10,0.001,clean,943,335,0.9164179104477612,0.9402985074626866,0.9492537313432836,0.9164179104477612,0.9402985074626866,0.9492537313432836,0.5140533447265625,-0.0009413534426130354,0.5149946981691755,0.00015489943325519562
bowphs/LaTa,ff1,sif,9,baseline,0,0.001,clean,943,335,0.9044776119402985,0.9343283582089552,0.9402985074626866,0.9044776119402985,0.9343283582089552,0.9402985074626866,0.722030520439148,0.3335701525211334,0.3884603679180145,0.3343971371650696
bowphs/LaTa,ff1,sif,9,abtt,10,0.001,clean,943,335,0.9253731343283582,0.9611940298507463,0.9611940298507463,0.9253731343283582,0.9611940298507463,0.9611940298507463,0.5256527066230774,-0.0010439703473821282,0.5266966769704595,7.71920385886915e-05
bowphs/LaTa,ff1,sif,10,baseline,0,0.001,clean,943,335,0.8716417910447761,0.9104477611940298,0.9223880597014925,0.8716417910447761,0.9104477611940298,0.9223880597014925,0.7377509474754333,0.401195228099823,0.33655571937561035,0.4019114673137665
bowphs/LaTa,ff1,sif,10,abtt,10,0.001,clean,943,335,0.9134328358208955,0.9432835820895522,0.9552238805970149,0.9134328358208955,0.9432835820895522,0.9552238805970149,0.5240416526794434,-0.0012414815137162805,0.5252831341931596,-0.0001233280054293573
bowphs/LaTa,ff1,sif,11,baseline,0,0.001,clean,943,335,0.8895522388059701,0.9313432835820895,0.9343283582089552,0.8895522388059701,0.9313432835820895,0.9343283582089552,0.7136580348014832,0.36359068751335144,0.3500673472881317,0.3643359839916229
bowphs/LaTa,ff1,sif,11,abtt,10,0.001,clean,943,335,0.9194029850746268,0.9552238805970149,0.9611940298507463,0.9194029850746268,0.9552238805970149,0.9611940298507463,0.512094259262085,-0.001274779555387795,0.5133690388174728,-0.0001819864264689386
