model,language,layer,method,pooling,D,spearman_test,baseline_spearman,performance_delta,labse_spearman,recovery_rate,n_test_pairs
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,tamil,19,abtt_optimal,lasttok,10,0.1634783208695497,0.3297072283945736,-0.1662289075250239,0.4498233912935167,-1.38390124620345,1300
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,tamil,19,optimal_transport,none,0,0.1592917619775135,0.3297072283945736,-0.1704154664170601,0.4498233912935167,-1.4187554972134369,1300
Qwen/Qwen3-Embedding-0.6B,english,28,baseline,lasttok,0,0.8293171142344976,0.7518912750228506,0.077425839211647,0.7457104708331895,-12.526822859258548,3564
Qwen/Qwen3-Embedding-0.6B,english,28,abtt_optimal,lasttok,1,0.8420383660006295,0.7518912750228506,0.0901470909777789,0.7457104708331895,-14.585010010278705,3564
Qwen/Qwen3-Embedding-0.6B,english,28,optimal_transport,none,0,0.7099004245758851,0.7518912750228506,-0.0419908504469654,0.7457104708331895,6.793751938818214,3564
Qwen/Qwen3-Embedding-0.6B,french,16,baseline,lasttok,0,0.6903395813946664,0.6490126350206363,0.0413269463740301,0.8823995291779473,0.1770748375706748,505
Qwen/Qwen3-Embedding-0.6B,french,16,abtt_optimal,lasttok,10,0.8342064846828349,0.6490126350206363,0.1851938496621985,0.8823995291779473,0.7935057807375053,505
Qwen/Qwen3-Embedding-0.6B,french,16,optimal_transport,none,0,0.8588018777718145,0.6490126350206363,0.2097892427511781,0.8823995291779473,0.8988904175989113,505
Qwen/Qwen3-Embedding-0.6B,serbian,0,baseline,lasttok,0,,0.5665651508552868,,0.7570294256777488,,596
Qwen/Qwen3-Embedding-0.6B,serbian,0,abtt_optimal,lasttok,1,,0.5665651508552868,,0.7570294256777488,,596
Qwen/Qwen3-Embedding-0.6B,serbian,0,optimal_transport,none,0,0.7160824896626775,0.5665651508552868,0.1495173388073907,0.7570294256777488,0.7850151370736624,596
Qwen/Qwen3-Embedding-0.6B,sinhala,17,baseline,lasttok,0,0.1912308650000522,0.2894230965541905,-0.0981922315541383,0.6388178916200952,-0.2810351869598309,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,17,abtt_optimal,lasttok,10,0.2783647654800718,0.2894230965541905,-0.0110583310741187,0.6388178916200952,-0.031649959387726,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,17,optimal_transport,none,0,0.4849155744006446,0.2894230965541905,0.1954924778464541,0.6388178916200952,0.5595174301597118,2548
Qwen/Qwen3-Embedding-0.6B,tamil,20,baseline,lasttok,0,0.2429874198634093,0.3414442811156443,-0.0984568612522349,0.4498233912935167,-0.90844869542338,1300
Qwen/Qwen3-Embedding-0.6B,tamil,20,abtt_optimal,lasttok,10,0.2905984893186335,0.3414442811156443,-0.0508457917970107,0.4498233912935167,-0.469147529570619,1300
Qwen/Qwen3-Embedding-0.6B,tamil,20,optimal_transport,none,0,0.4322495110495518,0.3414442811156443,0.0908052299339075,0.4498233912935167,0.8378480851602994,1300
