model,repr,pooling,layer,method,D,tau,dir_acc_at_1,dir_acc_at_2,dir_acc_at_3,dir_acc_at_4,dir_acc_at_5,existing_acc,new_acc,overall_assignment_acc,n_query,n_reference_dirs,n_query_existing,n_query_new,seed
google/mt5-base,hidden,mean,1,baseline,10,0.9849246231155779,0.22018348623853212,0.30275229357798167,0.3486238532110092,0.41284403669724773,0.45871559633027525,0.26373626373626374,0.0,0.22018348623853212,109,50,91,18,44
google/mt5-base,hidden,mean,2,baseline,10,0.9849246231155779,0.2018348623853211,0.29357798165137616,0.3853211009174312,0.42201834862385323,0.44954128440366975,0.23076923076923078,0.05555555555555555,0.2018348623853211,109,50,91,18,44
google/mt5-base,hidden,mean,3,baseline,10,0.9899497487437187,0.21100917431192662,0.25688073394495414,0.3761467889908257,0.44036697247706424,0.5045871559633027,0.21978021978021978,0.16666666666666666,0.21100917431192662,109,50,91,18,44
google/mt5-base,hidden,mean,4,baseline,10,0.9899497487437187,0.21100917431192662,0.3119266055045872,0.41284403669724773,0.45871559633027525,0.5321100917431193,0.23076923076923078,0.1111111111111111,0.21100917431192662,109,50,91,18,44
google/mt5-base,hidden,mean,5,baseline,10,0.04522613065326633,0.1743119266055046,0.2018348623853211,0.26605504587155965,0.3119266055045872,0.3394495412844037,0.2087912087912088,0.0,0.1743119266055046,109,50,91,18,44
google/mt5-base,hidden,mean,6,baseline,10,0.010050251256281407,0.22018348623853212,0.29357798165137616,0.3944954128440367,0.41284403669724773,0.43119266055045874,0.26373626373626374,0.0,0.22018348623853212,109,50,91,18,44
google/mt5-base,hidden,mean,7,baseline,10,0.07537688442211056,0.25688073394495414,0.3211009174311927,0.3394495412844037,0.3669724770642202,0.42201834862385323,0.3076923076923077,0.0,0.25688073394495414,109,50,91,18,44
google/mt5-base,hidden,mean,8,baseline,10,0.010050251256281407,0.21100917431192662,0.30275229357798167,0.3394495412844037,0.3761467889908257,0.4036697247706422,0.25274725274725274,0.0,0.21100917431192662,109,50,91,18,44
google/mt5-base,hidden,mean,9,baseline,10,0.06030150753768844,0.27522935779816515,0.3486238532110092,0.3761467889908257,0.4036697247706422,0.42201834862385323,0.32967032967032966,0.0,0.27522935779816515,109,50,91,18,44
google/mt5-base,hidden,mean,10,baseline,10,0.020100502512562814,0.23853211009174313,0.3119266055045872,0.3486238532110092,0.4036697247706422,0.44036697247706424,0.2857142857142857,0.0,0.23853211009174313,109,50,91,18,44
google/mt5-base,hidden,mean,11,baseline,10,0.0,0.26605504587155965,0.3486238532110092,0.3853211009174312,0.44036697247706424,0.45871559633027525,0.31868131868131866,0.0,0.26605504587155965,109,50,91,18,44
google/mt5-base,hidden,mean,12,baseline,10,0.9597989949748744,0.26605504587155965,0.3944954128440367,0.4954128440366973,0.5321100917431193,0.5779816513761468,0.23076923076923078,0.4444444444444444,0.26605504587155965,109,50,91,18,44
google/mt5-base,hidden,sif,1,sif_only,10,0.9447236180904522,0.30275229357798167,0.3394495412844037,0.3853211009174312,0.4036697247706422,0.42201834862385323,0.3626373626373626,0.0,0.30275229357798167,109,50,91,18,44
google/mt5-base,hidden,sif,1,sif_abtt_fixed,10,0.18592964824120603,0.45871559633027525,0.5412844036697247,0.6146788990825688,0.6697247706422018,0.6972477064220184,0.43956043956043955,0.5555555555555556,0.45871559633027525,109,50,91,18,44
google/mt5-base,hidden,sif,1,sif_abtt_optimal,2,0.08542713567839195,0.41284403669724773,0.44954128440366975,0.47706422018348627,0.4954128440366973,0.5045871559633027,0.4945054945054945,0.0,0.41284403669724773,109,50,91,18,44
google/mt5-base,hidden,sif,2,sif_only,10,0.949748743718593,0.26605504587155965,0.30275229357798167,0.3394495412844037,0.3761467889908257,0.4036697247706422,0.31868131868131866,0.0,0.26605504587155965,109,50,91,18,44
google/mt5-base,hidden,sif,2,sif_abtt_fixed,10,0.24623115577889448,0.43119266055045874,0.5688073394495413,0.6422018348623854,0.6788990825688074,0.7155963302752294,0.37362637362637363,0.7222222222222222,0.43119266055045874,109,50,91,18,44
google/mt5-base,hidden,sif,2,sif_abtt_optimal,1,0.24623115577889448,0.3944954128440367,0.45871559633027525,0.5137614678899083,0.5504587155963303,0.5779816513761468,0.42857142857142855,0.2222222222222222,0.3944954128440367,109,50,91,18,44
google/mt5-base,hidden,sif,3,sif_only,10,0.9597989949748744,0.2018348623853211,0.3119266055045872,0.3394495412844037,0.4036697247706422,0.43119266055045874,0.24175824175824176,0.0,0.2018348623853211,109,50,91,18,44
google/mt5-base,hidden,sif,3,sif_abtt_fixed,10,0.19095477386934673,0.41284403669724773,0.5137614678899083,0.6055045871559633,0.6788990825688074,0.7155963302752294,0.4725274725274725,0.1111111111111111,0.41284403669724773,109,50,91,18,44
google/mt5-base,hidden,sif,3,sif_abtt_optimal,2,0.18090452261306533,0.3761467889908257,0.44036697247706424,0.47706422018348627,0.5045871559633027,0.5321100917431193,0.45054945054945056,0.0,0.3761467889908257,109,50,91,18,44
google/mt5-base,hidden,sif,4,sif_only,10,0.9899497487437187,0.28440366972477066,0.3486238532110092,0.3669724770642202,0.42201834862385323,0.47706422018348627,0.2967032967032967,0.2222222222222222,0.28440366972477066,109,50,91,18,44
google/mt5-base,hidden,sif,4,sif_abtt_fixed,10,0.20603015075376885,0.3944954128440367,0.4954128440366973,0.6238532110091743,0.6513761467889908,0.6972477064220184,0.43956043956043955,0.16666666666666666,0.3944954128440367,109,50,91,18,44
google/mt5-base,hidden,sif,4,sif_abtt_optimal,1,0.20100502512562815,0.3853211009174312,0.47706422018348627,0.5045871559633027,0.5229357798165137,0.5412844036697247,0.46153846153846156,0.0,0.3853211009174312,109,50,91,18,44
google/mt5-base,hidden,sif,5,sif_only,10,0.0,0.21100917431192662,0.27522935779816515,0.3302752293577982,0.3577981651376147,0.41284403669724773,0.25274725274725274,0.0,0.21100917431192662,109,50,91,18,44
