config,model,view,n_pairs,gap_baseline,gap_abtt,paired_mean,paired_se,se_ratio,verdict
draws20,bowphs/PhilTa,ig,199,0.11374101911977312,0.40336469687895854,0.2896236777591854,0.010187849452813145,28.428342909917298,win
draws20,bowphs/PhilTa,retrieval_mark,199,0.20081935319954444,0.3130980917499306,0.11227873855038613,0.014018854828762832,8.009123421409647,win
draws20,google/mt5-base,ig,198,0.06185471341062797,0.5607587697474367,0.49890405633680873,0.020782670890180273,24.005771874708312,win
draws20,google/mt5-base,retrieval_mark,198,0.04195120182265614,0.4629630012636677,0.4210117994410115,0.02168120711500057,19.418282257436037,win
draws50,bowphs/LaTa,ig,194,0.8342935485726976,0.1812817055187192,-0.6530118430539784,0.07508722713476064,-8.696710052723137,loss
draws50,bowphs/LaTa,retrieval_mark,194,0.506823221311255,0.3287577032610976,-0.17806551805015744,0.08110957107139304,-2.195369987759192,loss
draws50,bowphs/PhilTa,ig,199,0.11355862565044704,0.4029848586459531,0.2894262329955062,0.010227820809657392,28.297937398572913,win
draws50,bowphs/PhilTa,retrieval_mark,199,0.20063695973021836,0.3127182535169254,0.11208129378670693,0.013936906926911559,8.042049385454591,win
draws50,google/mt5-base,ig,198,0.06185808872981776,0.5596358560081305,0.49777776727831274,0.020791950034585636,23.940888971467412,win
draws50,google/mt5-base,retrieval_mark,198,0.04195457714184594,0.46184008752436145,0.41988551038251554,0.021612539828925716,19.427865197988005,win
erase_centroid,bowphs/LaTa,ig,194,0.42683971373590907,0.1797314848423945,-0.24710822889351455,0.03883082955697825,-6.36371233148448,loss
erase_centroid,bowphs/LaTa,retrieval_mark,194,0.23966165021723454,0.3272074825847729,0.08754583236753832,0.05165007352506402,1.6949798207945497,tie
erase_centroid,bowphs/PhilTa,ig,199,0.05162874087135852,0.3998549874988305,0.34822624662747187,0.010223871342575762,34.06011626704812,win
erase_centroid,bowphs/PhilTa,retrieval_mark,199,0.049440823304172536,0.3095883823698025,0.26014755906563003,0.01434113427622323,18.13995699746983,win
erase_centroid,google/mt5-base,ig,198,0.005675772812683506,0.5614079124245251,0.5557321396118416,0.02130972528363814,26.078803561045408,win
erase_centroid,google/mt5-base,retrieval_mark,198,0.005242108684492837,0.46361214394075606,0.45837003525626324,0.023022130678754832,19.909974522004344,win
erase_zero,bowphs/LaTa,ig,194,0.813841781675084,0.07963297689300577,-0.7342088047820783,0.07826075527977584,-9.381570650031954,loss
erase_zero,bowphs/LaTa,retrieval_mark,194,0.48637145441364144,0.15055726047256723,-0.3358141939410743,0.0903972546893345,-3.714871597540841,loss
erase_zero,bowphs/PhilTa,ig,199,0.11274272239016972,0.2668784738296629,0.15413575143949315,0.007860563426147304,19.608740885771297,win
erase_zero,bowphs/PhilTa,retrieval_mark,199,0.19982105646994114,0.18826971710691737,-0.011551339363023756,0.010368313900663461,-1.1141000816231648,tie
erase_zero,google/mt5-base,ig,198,0.06182709498758291,0.17223431520238588,0.11040722021480298,0.008394206790833228,13.152787745873926,win
erase_zero,google/mt5-base,retrieval_mark,198,0.04192358339961109,0.14614938264080365,0.10422579924119259,0.008271367560687054,12.600794061742212,win
filter_all,bowphs/LaTa,ig,199,0.08929248160963008,-0.02396090416499157,-0.11325338577462163,0.023130710504675137,-4.896234629356978,loss
filter_all,bowphs/LaTa,retrieval_mark,199,-0.21082208902587438,-0.1300761961967119,0.08074589282916249,0.016716080916055615,4.830432039342842,win
filter_all,bowphs/PhilTa,ig,199,0.046336848209696045,-0.0782254883938655,-0.12456233660356159,0.008992986645200554,-13.851053217124365,loss
filter_all,bowphs/PhilTa,retrieval_mark,199,-0.10302066548817104,-0.11097678798173069,-0.007956122493559663,0.006265758116071843,-1.2697781092366125,tie
filter_all,google/mt5-base,ig,199,0.15702139675621737,0.008863940294257213,-0.14815745646196019,0.01465929860598062,-10.106722050229315,loss
filter_all,google/mt5-base,retrieval_mark,199,0.424594213291151,-0.12208896616948711,-0.546683179460638,0.010468285006415966,-52.22280240990557,loss
filter_no_empty,bowphs/LaTa,ig,197,0.015715045226997956,0.1630514620379904,0.14733641681099244,0.010244038178083354,14.382650108256321,win
filter_no_empty,bowphs/LaTa,retrieval_mark,197,0.06791987051620745,0.3121068695851602,0.24418699906895275,0.01030517010020701,23.695581605591112,win
filter_no_empty,bowphs/PhilTa,ig,200,0.08155633633095487,0.3754184591269318,0.29386212279597695,0.009755936733556918,30.121364131564814,win
filter_no_empty,bowphs/PhilTa,retrieval_mark,200,0.1665631357432745,0.30896265383421373,0.14239951809093923,0.011569362836904728,12.308328479136614,win
filter_no_empty,google/mt5-base,ig,199,0.015752676990707846,0.4837069831169581,0.46795430612625016,0.015455539208759169,30.277449385980976,win
filter_no_empty,google/mt5-base,retrieval_mark,199,0.0380526834404263,0.43032510874098934,0.392272425300563,0.015896225489152666,24.67707982427926,win
predeclared,bowphs/LaTa,ig,194,0.813841781675084,0.1797314848423945,-0.6341102968326896,0.07782674341841848,-8.147717211081725,loss
predeclared,bowphs/LaTa,retrieval_mark,194,0.4863714544136415,0.32720748258477295,-0.15916397182886857,0.08946392180565488,-1.779085564509738,tie
predeclared,bowphs/PhilTa,ig,199,0.11274272239016973,0.3998549874988305,0.28711226510866067,0.010367473488843992,27.693561542994082,win
predeclared,bowphs/PhilTa,retrieval_mark,199,0.19982105646994114,0.3095883823698025,0.10976732589986146,0.014233264866898722,7.7120272071335805,win
predeclared,google/mt5-base,ig,198,0.061827094987582924,0.5614079124245251,0.4995808174369422,0.021468156910311308,23.270782840095137,win
predeclared,google/mt5-base,retrieval_mark,198,0.041923583399611095,0.46361214394075606,0.421688560541145,0.022995280610400605,18.338048040623526,win
sched0.10_both,bowphs/LaTa,ig,194,1.2786637067374083,0.15514402033725258,-1.123519686400156,0.12581970255525135,-8.929600560029805,loss
sched0.10_both,bowphs/LaTa,retrieval_mark,194,0.7832341571536782,0.15332207498048397,-0.6299120821731942,0.10510374833254654,-5.993240889755546,loss
sched0.10_both,bowphs/PhilTa,ig,199,0.015645395922199087,0.2285464491304411,0.21290105320824199,0.011887635432762078,17.909453432723137,win
sched0.10_both,bowphs/PhilTa,retrieval_mark,199,0.12932733873767224,0.12671158134425425,-0.0026157573934180054,0.014564449509949702,-0.17959878206389132,tie
sched0.10_both,google/mt5-base,ig,198,0.007226211263215052,0.3846442282766134,0.3774180170133983,0.023798828984837688,15.858680158332687,win
sched0.10_both,google/mt5-base,retrieval_mark,198,0.029922288032472294,0.16635281351335535,0.13643052548088302,0.019868422167401235,6.86670155945896,win
sched0.10_centroid,bowphs/LaTa,ig,194,0.41403674643109656,0.1736112484083365,-0.24042549802276003,0.03744060124548915,-6.421518085309235,loss
sched0.10_centroid,bowphs/LaTa,retrieval_mark,194,0.23930664432194051,0.31722314155105247,0.07791649722911193,0.0500475874135624,1.5568482169831295,tie
sched0.10_centroid,bowphs/PhilTa,ig,199,0.051563271444494255,0.3914399351582009,0.3398766637137066,0.009922797905689893,34.2520997549306,win
sched0.10_centroid,bowphs/PhilTa,retrieval_mark,199,0.04920220948924382,0.3001545038454521,0.2509522943562083,0.01446279564881113,17.35157575685148,win
sched0.10_centroid,google/mt5-base,ig,198,0.0056467665491891205,0.5458260086239496,0.5401792420747604,0.020809724271009192,25.958020156341252,win
sched0.10_centroid,google/mt5-base,retrieval_mark,198,0.005202411882690404,0.4536907013846428,0.44848828950195235,0.022520401154321426,19.914755799804755,win
sched0.10_zero,bowphs/LaTa,ig,194,0.801211557296232,0.07930165849864437,-0.7219098987975875,0.07679248937350638,-9.400787820360051,loss
sched0.10_zero,bowphs/LaTa,retrieval_mark,194,0.49436358202684544,0.14995686292120727,-0.3444067191056382,0.08820413375559424,-3.90465508181236,loss
sched0.10_zero,bowphs/PhilTa,ig,199,0.1115586611231638,0.26386402946138104,0.1523053683382172,0.007600304839937732,20.03937625473783,win
sched0.10_zero,bowphs/PhilTa,retrieval_mark,199,0.1863874432822779,0.18620388476948527,-0.00018355851279261453,0.010231171445003762,-0.01794110418140364,tie
sched0.10_zero,google/mt5-base,ig,198,0.053103995792459883,0.17001902249235012,0.11691502669989025,0.008164709923240709,14.319556701836229,win
sched0.10_zero,google/mt5-base,retrieval_mark,198,0.03518544341304437,0.14411935863486644,0.10893391522182205,0.00812249983475964,13.411377954807383,win
