threshold,precision,recall,f1,tp,fp,fn,total_pos,total_neg,layer
-0.12749576568603516,0.002145589683289606,0.9948186528497409,0.00428194422073819,1728,803645,9,1737,814266,3
-0.12335073947906494,0.002145962721348976,0.9948186528497409,0.004282687088739359,1728,803505,9,1737,814266,3
-0.11920571327209473,0.0021464265351980416,0.9948186528497409,0.004283610726875196,1728,803331,9,1737,814266,3
-0.11506062746047974,0.0021468105327891764,0.9948186528497409,0.0042843754183960366,1728,803187,9,1737,814266,3
-0.11091560125350952,0.0021472747132307165,0.9948186528497409,0.004285299784991034,1728,803013,9,1737,814266,3
-0.1067705750465393,0.0021480274321003306,0.9948186528497409,0.004286798743729813,1728,802731,9,1737,814266,3
-0.10262554883956909,0.0021487352554234425,0.9948186528497409,0.004288208295747402,1728,802466,9,1737,814266,3
-0.0984804630279541,0.0021500185389330033,0.9948186528497409,0.004290763808102541,1728,801986,9,1737,814266,3
-0.09433543682098389,0.002151584614675849,0.9948186528497409,0.004293882459937431,1728,801401,9,1737,814266,3
-0.09019041061401367,0.002153499124517862,0.9948186528497409,0.004297694963141297,1728,800687,9,1737,814266,3
-0.08604538440704346,0.002155029962149792,0.9948186528497409,0.00430074342133099,1728,800117,9,1737,814266,3
-0.08190029859542847,0.0021562427470133293,0.9948186528497409,0.004303158513368305,1728,799666,9,1737,814266,3
-0.07775527238845825,0.0021573680110265475,0.9948186528497409,0.004305399314574449,1728,799248,9,1737,814266,3
-0.07361024618148804,0.002158583429624309,0.9948186528497409,0.004307819639967991,1728,798797,9,1737,814266,3
-0.06946521997451782,0.0021598812065336407,0.9948186528497409,0.004310403963176977,1728,798316,9,1737,814266,3
-0.06532013416290283,0.002161815925377317,0.9948186528497409,0.004314256645840225,1728,797600,9,1737,814266,3
-0.06117510795593262,0.0021639708865768686,0.9948186528497409,0.004318547888272569,1728,796804,9,1737,814266,3
-0.0570300817489624,0.0021662767869903045,0.9948186528497409,0.00432313968019274,1728,795954,9,1737,814266,3
-0.05288499593734741,0.002168421607417809,0.9948186528497409,0.004327410690808009,1728,795165,9,1737,814266,3
-0.0487399697303772,0.0021707179197286604,0.9948186528497409,0.004331983348939003,1728,794322,9,1737,814266,3
