group,diagnostic,retrieval_target,n,pearson,spearman
main_all,effective_rank_entropy,train_dir_acc_at_1__abtt_optimal,36,0.30871731435815425,0.43660259520743505
main_all,delta_anisotropy_mean_cosine,aucroc__baseline,36,-0.615066169814081,-0.6749034749034749
main_all,delta_anisotropy_mean_cosine,aucroc__abtt_optimal,36,-0.32860722798040265,-0.4597168597168597
main_all,delta_anisotropy_mean_cosine,aucroc_gain__abtt_optimal_minus_baseline,36,0.603805095706728,0.6612612612612613
main_all,delta_anisotropy_mean_cosine,gap__baseline,36,-0.12015621480848802,-0.3261261261261261
main_all,delta_anisotropy_mean_cosine,gap__abtt_optimal,36,0.09680737200232573,0.36911196911196914
main_all,delta_anisotropy_mean_cosine,gap_gain__abtt_optimal_minus_baseline,36,0.12408453684087606,0.36731016731016736
main_all,delta_anisotropy_mean_cosine,dir_acc_at_1__baseline,36,-0.46470531067266113,-0.6826725252015098
main_all,delta_anisotropy_mean_cosine,dir_acc_at_1__abtt_optimal,36,-0.07387279871797726,0.12489539670352821
main_all,delta_anisotropy_mean_cosine,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,0.430242357086042,0.6103745706374951
main_all,delta_anisotropy_mean_cosine,overall_assignment_acc__baseline,36,0.09315253013560519,0.34101442942839894
main_all,delta_anisotropy_mean_cosine,overall_assignment_acc__abtt_optimal,36,-0.04481523503235327,0.14059483474404966
main_all,delta_anisotropy_mean_cosine,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,-0.10545084637457826,-0.08674388674388675
main_all,delta_anisotropy_mean_cosine,train_dir_acc_at_1__abtt_optimal,36,-0.13164894189883244,0.061433462511488644
main_all,delta_pc1_variance_ratio,aucroc__baseline,36,0.8691947202835302,0.5052767052767053
main_all,delta_pc1_variance_ratio,aucroc__abtt_optimal,36,-0.03151145783168191,-0.01724581724581725
main_all,delta_pc1_variance_ratio,aucroc_gain__abtt_optimal_minus_baseline,36,-0.8723193920708148,-0.5060489060489061
main_all,delta_pc1_variance_ratio,gap__baseline,36,0.29283513743810097,0.08005148005148006
main_all,delta_pc1_variance_ratio,gap__abtt_optimal,36,0.07317318018908286,0.24813384813384814
main_all,delta_pc1_variance_ratio,gap_gain__abtt_optimal_minus_baseline,36,-0.21965030360701573,0.04607464607464608
main_all,delta_pc1_variance_ratio,dir_acc_at_1__baseline,36,0.856461016305205,0.5901133048319294
main_all,delta_pc1_variance_ratio,dir_acc_at_1__abtt_optimal,36,0.3106647350616188,0.43558879077117113
main_all,delta_pc1_variance_ratio,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,-0.7317298098803869,-0.40738834164227583
main_all,delta_pc1_variance_ratio,overall_assignment_acc__baseline,36,0.4712426451054662,-0.19541710225455253
main_all,delta_pc1_variance_ratio,overall_assignment_acc__abtt_optimal,36,0.3168664933617324,0.4412257313808225
main_all,delta_pc1_variance_ratio,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,-0.2948250644327945,0.1758043758043758
main_all,delta_pc1_variance_ratio,train_dir_acc_at_1__abtt_optimal,36,0.35272076655367973,0.4617169037813141
main_all,delta_effective_rank_entropy,aucroc__baseline,36,-0.8643083251123819,-0.6795366795366796
main_all,delta_effective_rank_entropy,aucroc__abtt_optimal,36,0.07494539848180834,0.03552123552123552
main_all,delta_effective_rank_entropy,aucroc_gain__abtt_optimal_minus_baseline,36,0.869089773862526,0.7021879021879023
main_all,delta_effective_rank_entropy,gap__baseline,36,-0.479570798500857,-0.4388674388674389
main_all,delta_effective_rank_entropy,gap__abtt_optimal,36,-0.042339526103406556,-0.019305019305019308
main_all,delta_effective_rank_entropy,gap_gain__abtt_optimal_minus_baseline,36,0.3804655516719334,0.30321750321750324
main_all,delta_effective_rank_entropy,dir_acc_at_1__baseline,36,-0.9169773499279817,-0.5866375065704847
main_all,delta_effective_rank_entropy,dir_acc_at_1__abtt_optimal,36,-0.18862141337478355,-0.11395095472435308
main_all,delta_effective_rank_entropy,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,0.8339421002000753,0.5848886649044237
main_all,delta_effective_rank_entropy,overall_assignment_acc__baseline,36,-0.7365848461796608,-0.21498455913379627
main_all,delta_effective_rank_entropy,overall_assignment_acc__abtt_optimal,36,-0.2047674002701517,-0.10390112787403669
main_all,delta_effective_rank_entropy,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,0.5883696297196735,0.22471042471042474
main_all,delta_effective_rank_entropy,train_dir_acc_at_1__abtt_optimal,36,-0.21492683943899973,-0.007985062213233324
main_all,delta_cosine_std,aucroc__baseline,36,0.7204471367917348,0.4846846846846847
main_all,delta_cosine_std,aucroc__abtt_optimal,36,0.030156018551570997,0.01904761904761905
