model,model_display,repr,pooling,layer,split,D,embedding_path,split_csv,token_filter,view,n,dim,anisotropy_mean_cosine,cosine_mean,cosine_std,cosine_p05,cosine_p50,cosine_p95,cosine_iqr,pc1_variance_ratio,pc10_cumulative_variance_ratio,effective_rank_entropy,delta_anisotropy_mean_cosine,delta_pc1_variance_ratio,delta_pc10_cumulative_variance_ratio,delta_effective_rank_entropy,delta_cosine_std,delta_cosine_iqr
bowphs/LaTa,LaTa,hidden,mean,7,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer7_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0014684507712209162,0.0014684507712209162,0.10120820497539094,-0.15316634228578074,-0.00284858547429951,0.16632231360710217,0.12823297898669783,0.03609655162104639,0.2510748784757149,165.09413045400768,-0.2317892763261468,-0.9084796662105873,-0.7370255648718056,163.68983742384688,-0.5200511260508177,-1.158907991617124
bowphs/LaTa,LaTa,hidden,mean,8,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer8_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.2244781994324264,0.2244781994324264,0.6233080926002237,-0.49410153193903605,0.22913007575039,0.993655507490542,1.2718014838777327,0.9498498371926304,0.9895601576129802,1.361929033424392,-0.22554935912124804,-0.917155793460486,-0.7468640111538618,167.91376860001276,-0.5237396746842906,-1.144448748204507
bowphs/LaTa,LaTa,hidden,mean,8,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer8_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,847,768,-0.0010711596888216572,-0.0010711596888216572,0.09956841791593306,-0.1542807683339077,-0.005047271407101799,0.16138194994644411,0.1273527356732257,0.0326940437321443,0.24269614645911847,169.27569763343715,-0.22554935912124804,-0.917155793460486,-0.7468640111538618,167.91376860001276,-0.5237396746842906,-1.144448748204507
bowphs/LaTa,LaTa,hidden,mean,8,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer8_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.22999829225934101,0.22999829225934101,0.6318271331447143,-0.4906067866128385,0.25155229123202216,0.9934843599521223,1.305040747294969,0.955725519455526,0.9889702893478819,1.3406149203669437,-0.2285761857860803,-0.920021000356473,-0.7404875653949787,167.05804387400985,-0.5313568463543898,-1.178115557879214
bowphs/LaTa,LaTa,hidden,mean,8,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer8_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0014221064732607214,0.0014221064732607214,0.1004702867903244,-0.15166550765488543,-0.003015145623319747,0.16521338695838136,0.12692518941575515,0.03570451909905297,0.24848272395290313,168.3986587943768,-0.2285761857860803,-0.920021000356473,-0.7404875653949787,167.05804387400985,-0.5313568463543898,-1.178115557879214
bowphs/LaTa,LaTa,hidden,mean,9,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer9_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.22581824936818237,0.22581824936818237,0.6207534184681501,-0.49865469222617176,0.2330380366323096,0.9929262226339697,1.269923772639728,0.9433632816372826,0.9884871970569167,1.403247181584294,-0.22687319249528107,-0.9096271075719906,-0.7462541208467939,170.55513517049408,-0.5218560944331154,-1.1439451730911312
bowphs/LaTa,LaTa,hidden,mean,9,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer9_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,847,768,-0.0010549431270986947,-0.0010549431270986947,0.09889732403503472,-0.15324577508580078,-0.004785359981671636,0.15974371599310183,0.12597859954859691,0.03373617406529199,0.24223307621012274,171.9583823520784,-0.22687319249528107,-0.9096271075719906,-0.7462541208467939,170.55513517049408,-0.5218560944331154,-1.1439451730911312
bowphs/LaTa,LaTa,hidden,mean,9,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer9_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.23080255766174776,0.23080255766174776,0.630255001184569,-0.49553673485628646,0.2649730219492999,0.9926863000094295,1.2987921116411802,0.9500674349563951,0.9878278828382633,1.3791014206852366,-0.22929877992727013,-0.9142843659482299,-0.7391227779601499,169.52544561765828,-0.5302397680431261,-1.1730705562755732
bowphs/LaTa,LaTa,hidden,mean,9,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer9_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0015037777344776373,0.0015037777344776373,0.10001523314144294,-0.15044554160947227,-0.0029714282475104582,0.1646911331829662,0.12572155536560695,0.03578306900816524,0.24870510487811337,170.9045470383435,-0.22929877992727013,-0.9142843659482299,-0.7391227779601499,169.52544561765828,-0.5302397680431261,-1.1730705562755732
bowphs/LaTa,LaTa,hidden,mean,10,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer10_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.23092054031156664,0.23092054031156664,0.619364013090584,-0.4964450300900185,0.2564981789359448,0.9922268427736839,1.2641110930714188,0.942359485394573,0.9868930102618187,1.4272338963529447,-0.23200376585404833,-0.9081561314977071,-0.7446178902262889,172.07578463403595,-0.5208321158739222,-1.1385381205986729
