model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,acc_at_1,acc_at_3,existing_acc,new_acc,overall_assignment_acc,n_train,n_test,n_existing,n_new
bowphs/LaTa,hidden,sif,2,sif_only,10,0.001,0.8542713567839196,0.9258104442456099,0.04865203704256254,0.8274678587913513,0.5466696619987488,0.28079819679260254,0.896875,0.90625,0.6875,0.9561128526645768,0.8215962441314554,639,639,320,319
bowphs/LaTa,hidden,sif,2,sif_abtt_fixed,10,0.001,0.4020100502512563,0.9642943372114029,0.053049110461946464,0.5679349899291992,0.00132536340970546,0.5666096265194938,0.8875,0.91875,0.89375,0.7899686520376176,0.8419405320813772,639,639,320,319
bowphs/LaTa,hidden,sif,2,sif_abtt_optimal,1,0.001,0.542713567839196,0.9569187887517709,0.052206398730198104,0.6018244028091431,0.0024943717289716005,0.5993300310801715,0.88125,0.9125,0.846875,0.8620689655172413,0.8544600938967136,639,639,320,319
bowphs/LaTa,hidden,sif,3,sif_only,10,0.001,0.8844221105527639,0.9198313831047022,0.0479688844613268,0.8368711471557617,0.62367182970047,0.21319931745529175,0.8,0.83125,0.578125,0.9153605015673981,0.7464788732394366,639,639,320,319
bowphs/LaTa,hidden,sif,3,sif_abtt_fixed,10,0.001,0.4221105527638191,0.9578078365666951,0.052307979111348275,0.5724383592605591,0.0010661558480933309,0.5713722034124658,0.8875,0.921875,0.884375,0.8213166144200627,0.8528951486697965,639,639,320,319
bowphs/LaTa,hidden,sif,3,sif_abtt_optimal,2,0.001,0.5175879396984925,0.9710657941839707,0.05382280021031432,0.6250618696212769,0.0030243496876209974,0.6220375199336559,0.89375,0.915625,0.878125,0.7962382445141066,0.837245696400626,639,639,320,319
bowphs/LaTa,hidden,sif,4,sif_only,10,0.001,0.8994974874371859,0.8981420387281334,0.04549071418557118,0.8392791748046875,0.6623002290725708,0.1769789457321167,0.65625,0.71875,0.48125,0.8746081504702194,0.6776212832550861,639,639,320,319
bowphs/LaTa,hidden,sif,4,sif_abtt_fixed,10,0.001,0.4271356783919598,0.9582113679987652,0.052354085604145416,0.572563111782074,0.0011450947495177388,0.5714180170325562,0.896875,0.925,0.8875,0.8087774294670846,0.8482003129890454,639,639,320,319
bowphs/LaTa,hidden,sif,4,sif_abtt_optimal,2,0.001,0.542713567839196,0.9711164983143532,0.05382859353751664,0.6296947002410889,0.002726182108744979,0.6269685181323439,0.89375,0.91875,0.875,0.8244514106583072,0.8497652582159625,639,639,320,319
bowphs/LaTa,hidden,sif,5,sif_only,10,0.001,0.914572864321608,0.8838420360159491,0.04385683161865892,0.847227931022644,0.6855716705322266,0.16165626049041748,0.640625,0.684375,0.43125,0.896551724137931,0.6635367762128326,639,639,320,319
