model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,english,20,whitening,0,none,0.001,0.6477822892011257,0.6587714070933743,3564,3564
Qwen/Qwen3-Embedding-8B,english,21,baseline_mean,0,none,0.001,0.1803534558197123,0.20589019359143448,3564,3564
Qwen/Qwen3-Embedding-8B,english,21,sif_abtt_optimal,10,train_sweep,0.001,0.6597340054590708,0.6935061453171594,3564,3564
Qwen/Qwen3-Embedding-8B,english,21,whitening,0,none,0.001,0.6494910308648809,0.6567274254547996,3564,3564
Qwen/Qwen3-Embedding-8B,english,22,baseline_mean,0,none,0.001,0.19372082655361306,0.21970150750984102,3564,3564
Qwen/Qwen3-Embedding-8B,english,22,sif_abtt_optimal,10,train_sweep,0.001,0.6697030809345046,0.7031039926300753,3564,3564
Qwen/Qwen3-Embedding-8B,english,22,whitening,0,none,0.001,0.6521735309489736,0.65668397250913,3564,3564
Qwen/Qwen3-Embedding-8B,english,23,baseline_mean,0,none,0.001,0.2147909275836835,0.24166923468846405,3564,3564
Qwen/Qwen3-Embedding-8B,english,23,sif_abtt_optimal,10,train_sweep,0.001,0.6875782364820774,0.7178825413789335,3564,3564
Qwen/Qwen3-Embedding-8B,english,23,whitening,0,none,0.001,0.6598117501516503,0.6640308279069697,3564,3564
Qwen/Qwen3-Embedding-8B,english,24,baseline_mean,0,none,0.001,0.2704266198712684,0.2969415257367911,3564,3564
Qwen/Qwen3-Embedding-8B,english,24,sif_abtt_optimal,10,train_sweep,0.001,0.7045435158708089,0.729104816848453,3564,3564
Qwen/Qwen3-Embedding-8B,english,24,whitening,0,none,0.001,0.6740123942300028,0.6708939653558408,3564,3564
Qwen/Qwen3-Embedding-8B,english,25,baseline_mean,0,none,0.001,0.34345363708820587,0.36462026713445317,3564,3564
Qwen/Qwen3-Embedding-8B,english,25,sif_abtt_optimal,10,train_sweep,0.001,0.7225964830650697,0.742343186903657,3564,3564
Qwen/Qwen3-Embedding-8B,english,25,whitening,0,none,0.001,0.6853813683002671,0.6740449582950825,3564,3564
Qwen/Qwen3-Embedding-8B,english,26,baseline_mean,0,none,0.001,0.37868427306483765,0.3994025005068815,3564,3564
Qwen/Qwen3-Embedding-8B,english,26,sif_abtt_optimal,10,train_sweep,0.001,0.7249676316417422,0.7446936355750835,3564,3564
Qwen/Qwen3-Embedding-8B,english,26,whitening,0,none,0.001,0.6923357411948714,0.6761000382704377,3564,3564
Qwen/Qwen3-Embedding-8B,english,27,baseline_mean,0,none,0.001,0.4445345956921186,0.4663061676039196,3564,3564
Qwen/Qwen3-Embedding-8B,english,27,sif_abtt_optimal,10,train_sweep,0.001,0.7323225877477034,0.7511348082623556,3564,3564
Qwen/Qwen3-Embedding-8B,english,27,whitening,0,none,0.001,0.700888876807451,0.6822195011833339,3564,3564
Qwen/Qwen3-Embedding-8B,english,28,baseline_mean,0,none,0.001,0.4836012988026463,0.5053849805445167,3564,3564
Qwen/Qwen3-Embedding-8B,english,28,sif_abtt_optimal,7,train_sweep,0.001,0.7347796835603678,0.7531209233729024,3564,3564
Qwen/Qwen3-Embedding-8B,english,28,whitening,0,none,0.001,0.7061180769962262,0.6859784174195265,3564,3564
Qwen/Qwen3-Embedding-8B,english,29,baseline_mean,0,none,0.001,0.513637823022986,0.532282142505847,3564,3564
Qwen/Qwen3-Embedding-8B,english,29,sif_abtt_optimal,7,train_sweep,0.001,0.7345197163151946,0.7519356991702116,3564,3564
Qwen/Qwen3-Embedding-8B,english,29,whitening,0,none,0.001,0.7084597755939054,0.6879470158633187,3564,3564
Qwen/Qwen3-Embedding-8B,english,30,baseline_mean,0,none,0.001,0.5786619250124173,0.5992736604324582,3564,3564
