model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
google/mt5-base,hidden,mean,12,abtt_optimal,10,0.001,0.23618090452261306,0.6265570478850688,0.08590977296235124,0.07207116484642029,0.0006516899447888136,0.07141947490163147,0.5265486725663717,0.6283185840707964,0.8952879581151832,0.08571428571428572,0.7699115044247787,0.57113856130136,0.539906103286385,213,226,191,35
google/mt5-base,hidden,mean,12,whitening,10,0.001,0.0,0.5355345959075912,0.024121969274448065,0.11304661631584167,-0.009010227397084236,0.12205684371292591,0.2079646017699115,0.25663716814159293,1.0,0.0,0.8451327433628318,0.5106065224528108,0.14553990610328638,213,226,191,35
google/mt5-base,hidden,sif,1,sif_only,10,0.001,0.9447236180904522,0.45901032819002563,-0.027824711924063338,0.9711059331893921,0.9728003740310669,-0.0016944408416748047,0.34513274336283184,0.4247787610619469,1.0,0.0,0.8451327433628318,0.48698187760425693,0.3615023474178404,213,226,191,35
google/mt5-base,hidden,sif,1,sif_abtt_fixed,10,0.001,0.18592964824120603,0.6186110901627431,0.08051587799324988,0.06357944756746292,0.0013475583400577307,0.06223188922740519,0.5353982300884956,0.6814159292035398,0.8219895287958116,0.17142857142857143,0.7212389380530974,0.5393797012735767,0.5539906103286385,213,226,191,35
google/mt5-base,hidden,sif,1,sif_abtt_optimal,7,0.001,0.22110552763819097,0.6312130644014069,0.0890703817827209,0.0671611800789833,0.0012658163905143738,0.06589536368846893,0.5707964601769911,0.6991150442477876,0.7068062827225131,0.5428571428571428,0.6814159292035398,0.5650266498277386,0.5868544600938967,213,226,191,35
google/mt5-base,hidden,sif,2,sif_only,10,0.001,0.949748743718593,0.4781975226459916,-0.01480001241360634,0.9735548496246338,0.974382221698761,-0.0008273720741271973,0.3053097345132743,0.3938053097345133,1.0,0.0,0.8451327433628318,0.5018668613772516,0.3286384976525822,213,226,191,35
google/mt5-base,hidden,sif,2,sif_abtt_fixed,10,0.001,0.24623115577889448,0.6299870410172269,0.08823812951116747,0.06823573261499405,0.0004313561075832695,0.06780437650741078,0.5353982300884956,0.6991150442477876,0.643979057591623,0.42857142857142855,0.6106194690265486,0.5637037626265454,0.6009389671361502,213,226,191,35
google/mt5-base,hidden,sif,2,sif_abtt_optimal,7,0.001,0.24623115577889448,0.6232164277424717,0.08364208481065959,0.06893165409564972,0.0006501197349280119,0.06828153436072171,0.5353982300884956,0.6548672566371682,0.675392670157068,0.34285714285714286,0.6238938053097345,0.5777325560493621,0.6009389671361502,213,226,191,35
google/mt5-base,hidden,sif,3,sif_only,10,0.001,0.9597989949748744,0.48101189561138136,-0.012889552691743016,0.9792746305465698,0.9799578189849854,-0.0006831884384155273,0.25663716814159293,0.38495575221238937,1.0,0.0,0.8451327433628318,0.5031617620551764,0.30985915492957744,213,226,191,35
google/mt5-base,hidden,sif,3,sif_abtt_fixed,10,0.001,0.19095477386934673,0.621616516273498,0.0825560288907693,0.0690813735127449,0.0008606561459600925,0.06822071736678481,0.5221238938053098,0.6150442477876106,0.9633507853403142,0.02857142857142857,0.8185840707964602,0.5354665935351279,0.4788732394366197,213,226,191,35
google/mt5-base,hidden,sif,3,sif_abtt_optimal,1,0.001,0.2613065326633166,0.6285631965533811,0.08727159183775643,0.08919508010149002,0.003006269922479987,0.08618881017901003,0.49557522123893805,0.5707964601769911,0.9424083769633508,0.05714285714285714,0.8053097345132744,0.6473774507132668,0.5070422535211268,213,226,191,35
