model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
bowphs/PhilTa,ff1,mean,7,abtt_fixed,10,0.001,0.35678391959798994,0.9661921361787289,0.053265948228386456,0.48505517840385437,0.0005092835053801537,0.4845458948984742,0.8341158059467919,0.9499217527386542,0.88125,0.8338557993730408,0.8575899843505478,0.9874161874138663,0.8294209702660407,639,639,320,319
bowphs/PhilTa,ff1,mean,7,abtt_optimal,10,0.001,0.35678391959798994,0.9661921361787289,0.053265948228386456,0.48505517840385437,0.0005092835053801537,0.4845458948984742,0.8341158059467919,0.9499217527386542,0.88125,0.8338557993730408,0.8575899843505478,0.9874161874138663,0.8294209702660407,639,639,320,319
bowphs/PhilTa,ff1,mean,7,whitening,10,0.001,0.005025125628140704,0.6121627683110157,0.012815438232156926,0.3001123368740082,-0.0006117066368460655,0.30072404351085424,0.14397496087636932,0.15336463223787167,1.0,0.0,0.5007824726134585,0.49014404904532555,0.06259780907668232,639,639,320,319
bowphs/PhilTa,ff1,mean,8,baseline,10,0.001,0.9849246231155779,0.7111902356587283,0.02413006845453692,0.9086087942123413,0.8448233604431152,0.06378543376922607,0.48200312989045385,0.6854460093896714,0.075,0.9153605015673981,0.4945226917057903,0.6977877847623501,0.2895148669796557,639,639,320,319
bowphs/PhilTa,ff1,mean,8,abtt_fixed,10,0.001,0.36180904522613067,0.9634440917719983,0.052951963543235066,0.48197653889656067,0.00048409044393338263,0.4814924484526273,0.8466353677621283,0.94679186228482,0.875,0.8683385579937304,0.8716744913928013,0.9911751253871588,0.8169014084507042,639,639,320,319
bowphs/PhilTa,ff1,mean,8,abtt_optimal,10,0.001,0.36180904522613067,0.9634440917719983,0.052951963543235066,0.48197653889656067,0.00048409044393338263,0.4814924484526273,0.8466353677621283,0.94679186228482,0.875,0.8683385579937304,0.8716744913928013,0.9911751253871588,0.8169014084507042,639,639,320,319
bowphs/PhilTa,ff1,mean,8,whitening,10,0.001,0.0,0.5591909111828668,0.006763005898169822,0.11308735609054565,-0.0013002646155655384,0.11438762070611119,0.11267605633802817,0.11737089201877934,1.0,0.0,0.5007824726134585,0.49800953922629704,0.03912363067292645,639,639,320,319
bowphs/PhilTa,ff1,mean,9,baseline,10,0.001,0.9949748743718593,0.48818317234329495,-0.0013501611917917289,0.7594431042671204,0.7461969256401062,0.01324617862701416,0.3489827856025039,0.41471048513302033,0.2625,0.6677115987460815,0.4647887323943662,0.5231015292608567,0.18622848200312989,639,639,320,319
bowphs/PhilTa,ff1,mean,9,abtt_fixed,10,0.001,0.34673366834170855,0.9588063008863621,0.05242206114884209,0.47473159432411194,0.000766347162425518,0.4739652471616864,0.8169014084507042,0.9233176838810642,0.884375,0.8025078369905956,0.8435054773082942,0.9878669127363586,0.8200312989045383,639,639,320,319
bowphs/PhilTa,ff1,mean,9,abtt_optimal,10,0.001,0.34673366834170855,0.9588063008863621,0.05242206114884209,0.47473159432411194,0.000766347162425518,0.4739652471616864,0.8169014084507042,0.9233176838810642,0.884375,0.8025078369905956,0.8435054773082942,0.9878669127363586,0.8200312989045383,639,639,320,319
bowphs/PhilTa,ff1,mean,9,whitening,10,0.001,0.0,0.5497419907494606,0.005683395858877047,0.06330911070108414,-0.0010879157343879342,0.06439702643547207,0.10641627543035993,0.1189358372456964,1.0,0.0,0.5007824726134585,0.4745423317184098,0.09233176838810642,639,639,320,319
bowphs/PhilTa,ff1,mean,10,baseline,10,0.001,0.9899497487437187,0.5590451146857965,0.0067463472202186035,0.8223394155502319,0.7860115170478821,0.036327898502349854,0.4162754303599374,0.513302034428795,0.13125,0.8087774294670846,0.4694835680751174,0.5859312334699605,0.2347417840375587,639,639,320,319
bowphs/PhilTa,ff1,mean,10,abtt_fixed,10,0.001,0.36180904522613067,0.9600811602343875,0.05256772339142549,0.44616299867630005,0.001092564663849771,0.4450704340124503,0.838810641627543,0.9405320813771518,0.859375,0.8683385579937304,0.863849765258216,0.9875587077532653,0.809076682316119,639,639,320,319
bowphs/PhilTa,ff1,mean,10,abtt_optimal,10,0.001,0.36180904522613067,0.9600811602343875,0.05256772339142549,0.44616299867630005,0.001092564663849771,0.4450704340124503,0.838810641627543,0.9405320813771518,0.859375,0.8683385579937304,0.863849765258216,0.9875587077532653,0.809076682316119,639,639,320,319
bowphs/PhilTa,ff1,mean,10,whitening,10,0.001,0.0,0.5282810361818215,0.003231320753957241,0.026280345395207405,0.0005684149800799787,0.025711930415127426,0.10954616588419405,0.11267605633802817,1.0,0.0,0.5007824726134585,0.49862780855388683,0.010954616588419406,639,639,320,319
bowphs/PhilTa,ff1,mean,11,baseline,10,0.001,0.9597989949748744,0.7881360321027052,0.03292170282951805,0.8704107403755188,0.7710132002830505,0.09939754009246826,0.4788732394366197,0.6917057902973396,0.140625,0.8934169278996865,0.5164319248826291,0.7541354672922902,0.3286384976525822,639,639,320,319
